,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,70:d3:79:2e:e8:40:,eduroam,-80,1709564976.856168,LC410,1,1
1,70:d3:79:2e:e8:43:,CD91,-75,1709564976.856168,LC410,1,1
2,70:d3:79:2e:e8:46:,fabrique2024,-80,1709564976.856168,LC410,1,1
3,70:d3:79:2e:e8:48:,stop&go,-80,1709564976.856168,LC410,1,1
4,94:d4:69:f6:c5:60:,eduroam,-75,1709564976.856168,LC410,1,1
5,94:d4:69:f6:c5:63:,CD91,-79,1709564976.856168,LC410,1,1
6,94:d4:69:f6:c5:64:,Guest-CentraleSupelec,-74,1709564976.856168,LC410,1,1
7,94:d4:69:f6:c5:66:,fabrique2024,-74,1709564976.856168,LC410,1,1
8,94:d4:69:f6:c5:68:,stop&go,-74,1709564976.856168,LC410,1,1
9,94:d4:69:f6:e4:e0:,eduroam,-76,1709564976.856168,LC410,1,1
10,94:d4:69:f9:7d:60:,eduroam,-74,1709564976.856168,LC410,1,1
11,94:d4:69:f9:7d:63:,CD91,-73,1709564976.856168,LC410,1,1
12,94:d4:69:f9:7d:66:,fabrique2024,-78,1709564976.856168,LC410,1,1
13,94:d4:69:f9:7d:67:,stop&go,-84,1709564976.856168,LC410,1,1
14,94:d4:69:f9:7d:68:,stop&go,-85,1709564976.856168,LC410,1,1
15,94:d4:69:f9:7d:69:,fabrique2024,-85,1709564976.856168,LC410,1,1
16,94:d4:69:f9:7d:6b:,Guest-CentraleSupelec,-85,1709564976.856168,LC410,1,1
17,94:d4:69:f9:7d:6c:,CD91,-84,1709564976.856168,LC410,1,1
18,94:d4:69:f9:7d:6f:,eduroam,-84,1709564976.856168,LC410,1,1
19,94:d4:69:f9:7d:c7:,stop&go,-85,1709564976.856168,LC410,1,1
20,94:d4:69:f9:7d:c9:,fabrique2024,-85,1709564976.856168,LC410,1,1
21,94:d4:69:f9:7d:cc:,CD91,-86,1709564976.856168,LC410,1,1
22,94:d4:69:fa:94:40:,eduroam,-65,1709564976.856168,LC410,1,1
23,94:d4:69:fa:94:43:,CD91,-70,1709564976.856168,LC410,1,1
24,94:d4:69:fa:94:44:,Guest-CentraleSupelec,-60,1709564976.856168,LC410,1,1
25,94:d4:69:fa:94:46:,fabrique2024,-70,1709564976.856168,LC410,1,1
26,94:d4:69:fa:94:47:,stop&go,-78,1709564976.856168,LC410,1,1
27,94:d4:69:fa:94:48:,stop&go,-78,1709564976.856168,LC410,1,1
28,94:d4:69:fa:94:49:,fabrique2024,-83,1709564976.856168,LC410,1,1
29,94:d4:69:fa:94:4b:,Guest-CentraleSupelec,-78,1709564976.856168,LC410,1,1
30,94:d4:69:fa:94:4c:,CD91,-84,1709564976.856168,LC410,1,1
31,94:d4:69:fa:94:4f:,eduroam,-83,1709564976.856168,LC410,1,1
32,94:d4:69:fa:9a:00:,eduroam,-70,1709564976.856168,LC410,1,1
33,94:d4:69:fa:9a:03:,CD91,-69,1709564976.856168,LC410,1,1
34,94:d4:69:fa:9a:04:,Guest-CentraleSupelec,-64,1709564976.856168,LC410,1,1
35,94:d4:69:fa:9a:06:,fabrique2024,-64,1709564976.856168,LC410,1,1
36,94:d4:69:fa:9a:07:,stop&go,-64,1709564976.856168,LC410,1,1
37,94:d4:69:fa:9a:08:,stop&go,-70,1709564976.856168,LC410,1,1
38,94:d4:69:fa:9a:09:,fabrique2024,-79,1709564976.856168,LC410,1,1
39,94:d4:69:fa:9a:0b:,Guest-CentraleSupelec,-80,1709564976.856168,LC410,1,1
