,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,00:18:E7:FF:8C:98,dlink,37,670.0007948875427,B2-01,1,1
1,00:21:91:70:9D:EC,LAB-DIDATICO,35,670.0007948875427,B2-01,1,1
2,02:E0:DB:48:81:EE,DIRECT-Te-Polycom Pano,27,670.0007948875427,B2-01,1,1
3,04:A1:51:85:27:B3,LAHPC-Wifi_2.4GHz,17,670.0007948875427,B2-01,1,1
4,2A:56:5A:49:06:54,DIRECT-54-HP M132f LaserJet,15,670.0007948875427,B2-01,1,1
5,30:85:A9:69:F2:E4,PCS-Wireless-C2-22,34,670.0007948875427,B2-01,1,1
6,34:60:F9:A3:D9:13,GASWIFI-5G_C2,25,670.0007948875427,B2-01,1,1
7,34:60:F9:A3:D9:14,GASWIFI-2G_C2,27,670.0007948875427,B2-01,1,1
8,34:60:F9:A3:E7:3F,GASWIFI_C4,34,670.0007948875427,B2-01,1,1
9,34:CE:00:51:3E:6F,Lab,57,670.0007948875427,B2-01,1,1
10,34:CE:00:51:3E:70,Lab_5G,15,670.0007948875427,B2-01,1,1
11,3A:60:F9:A3:D9:14,,32,670.0007948875427,B2-01,1,1
12,48:00:20:34:D2:40,eduroam,27,670.0007948875427,B2-01,1,1
13,54:B8:0A:AA:2C:8C,LAB_DIGITAL,45,670.0007948875427,B2-01,1,1
14,54:B8:0A:AA:2C:8D,PCS-Wireless,44,670.0007948875427,B2-01,1,1
15,54:B8:0A:AA:2C:8E,LAB_DIGITAL-5GHz,14,670.0007948875427,B2-01,1,1
16,54:B8:0A:AA:2C:8F,PCS-Wireless-5GHz,14,670.0007948875427,B2-01,1,1
17,54:F0:B1:A1:18:C0,eduroam,22,670.0007948875427,B2-01,1,1
18,54:F0:B1:A1:18:C1,PoliSemFio,22,670.0007948875427,B2-01,1,1
19,54:F0:B1:A1:18:C3,MEZANINO,24,670.0007948875427,B2-01,1,1
20,54:F0:B1:A1:18:C4,GDLAB,24,670.0007948875427,B2-01,1,1
21,54:F0:B1:A1:18:C5,LABPAD,24,670.0007948875427,B2-01,1,1
22,54:F0:B1:A1:18:D0,eduroam,40,670.0007948875427,B2-01,1,1
23,54:F0:B1:A1:18:D1,PoliSemFio,42,670.0007948875427,B2-01,1,1
24,54:F0:B1:A1:18:D2,,35,670.0007948875427,B2-01,1,1
25,54:F0:B1:A1:18:D3,MEZANINO,44,670.0007948875427,B2-01,1,1
26,54:F0:B1:A1:18:D4,GDLAB,40,670.0007948875427,B2-01,1,1
27,54:F0:B1:A1:18:D5,LABPAD,44,670.0007948875427,B2-01,1,1
28,54:F0:B1:A1:57:F0,eduroam,14,670.0007948875427,B2-01,1,1
29,54:F0:B1:A1:57:F1,PoliSemFio,10,670.0007948875427,B2-01,1,1
30,54:F0:B1:A1:57:F2,,12,670.0007948875427,B2-01,1,1
31,54:F0:B1:A1:58:00,eduroam,25,670.0007948875427,B2-01,1,1
32,54:F0:B1:A1:58:01,PoliSemFio,27,670.0007948875427,B2-01,1,1
33,54:F0:B1:A1:E4:F0,eduroam,15,670.0007948875427,B2-01,1,1
34,54:F0:B1:A1:E4:F1,PoliSemFio,17,670.0007948875427,B2-01,1,1
35,54:F0:B1:A2:37:E0,eduroam,19,670.0007948875427,B2-01,1,1
36,54:F0:B1:A2:37:E1,PoliSemFio,17,670.0007948875427,B2-01,1,1
37,54:F0:B1:A2:37:E2,,20,670.0007948875427,B2-01,1,1
38,54:F0:B1:A2:57:20,eduroam,14,670.0007948875427,B2-01,1,1
39,54:F0:B1:A2:57:21,PoliSemFio,25,670.0007948875427,B2-01,1,1
40,54:F0:B1:A2:57:22,,24,670.0007948875427,B2-01,1,1
41,54:F0:B1:A2:57:23,LCA,12,670.0007948875427,B2-01,1,1
42,54:F0:B1:A2:57:30,eduroam,29,670.0007948875427,B2-01,1,1
43,54:F0:B1:A2:57:31,PoliSemFio,29,670.0007948875427,B2-01,1,1
44,54:F0:B1:A2:57:33,LCA,25,670.0007948875427,B2-01,1,1
45,54:F0:B1:BB:5A:82,HACKER,22,670.0007948875427,B2-01,1,1
46,54:F0:B1:BB:5A:83,LEP,25,670.0007948875427,B2-01,1,1
47,54:F0:B1:BB:7E:E0,eduroam,17,670.0007948875427,B2-01,1,1
48,54:F0:B1:BB:80:C3,LABPROG,27,670.0007948875427,B2-01,1,1
49,54:F0:B1:BB:84:B0,eduroam,27,670.0007948875427,B2-01,1,1
50,54:F0:B1:BB:84:B2,,19,670.0007948875427,B2-01,1,1
51,54:F0:B1:BB:84:D0,eduroam,27,670.0007948875427,B2-01,1,1
52,54:F0:B1:BB:84:D1,PoliSemFio,25,670.0007948875427,B2-01,1,1
53,54:F0:B1:BB:92:E0,eduroam,12,670.0007948875427,B2-01,1,1
54,54:F0:B1:BB:92:E1,PoliSemFio,12,670.0007948875427,B2-01,1,1
55,54:F0:B1:BB:BE:12,,17,670.0007948875427,B2-01,1,1
56,54:F0:B1:BB:BE:13,CAEEL,17,670.0007948875427,B2-01,1,1
57,54:F0:B1:BB:C4:D0,eduroam,62,670.0007948875427,B2-01,1,1
58,54:F0:B1:BB:C4:D1,PoliSemFio,34,670.0007948875427,B2-01,1,1
59,54:F0:B1:BB:C4:F0,eduroam,39,670.0007948875427,B2-01,1,1
60,54:F0:B1:BB:C4:F1,PoliSemFio,39,670.0007948875427,B2-01,1,1
61,54:F0:B1:BB:C5:C0,eduroam,29,670.0007948875427,B2-01,1,1
62,54:F0:B1:BB:C5:C1,PoliSemFio,27,670.0007948875427,B2-01,1,1
63,54:F0:B1:BB:C5:C2,,25,670.0007948875427,B2-01,1,1
64,54:F0:B1:BB:C5:C3,MEZANINO,30,670.0007948875427,B2-01,1,1
65,54:F0:B1:BB:CC:E3,eduroam,15,670.0007948875427,B2-01,1,1
66,54:F0:B1:BB:FD:D0,eduroam,27,670.0007948875427,B2-01,1,1
67,54:F0:B1:BB:FD:D1,PoliSemFio,27,670.0007948875427,B2-01,1,1
68,54:F0:B1:BB:FD:D2,,25,670.0007948875427,B2-01,1,1
69,54:F0:B1:BC:09:40,eduroam,65,670.0007948875427,B2-01,1,1
70,54:F0:B1:BC:09:41,PoliSemFio,87,670.0007948875427,B2-01,1,1
71,54:F0:B1:BC:09:42,,87,670.0007948875427,B2-01,1,1
72,54:F0:B1:BC:09:60,eduroam,80,670.0007948875427,B2-01,1,1
73,54:F0:B1:BC:09:61,PoliSemFio,80,670.0007948875427,B2-01,1,1
74,54:F0:B1:BC:0F:D1,PoliSemFio,22,670.0007948875427,B2-01,1,1
75,54:F0:B1:BC:1B:D1,PoliSemFio,40,670.0007948875427,B2-01,1,1
76,54:F0:B1:BC:1B:F0,eduroam,20,670.0007948875427,B2-01,1,1
77,54:F0:B1:BC:1B:F1,PoliSemFio,20,670.0007948875427,B2-01,1,1
78,54:F0:B1:BC:2E:90,eduroam,84,670.0007948875427,B2-01,1,1
79,54:F0:B1:BC:2E:91,PoliSemFio,75,670.0007948875427,B2-01,1,1
80,54:F0:B1:BC:2E:92,,37,670.0007948875427,B2-01,1,1
81,54:F0:B1:BC:2E:B0,eduroam,12,670.0007948875427,B2-01,1,1
82,54:F0:B1:BC:2E:B1,PoliSemFio,14,670.0007948875427,B2-01,1,1
83,54:F0:B1:BC:2F:50,eduroam,19,670.0007948875427,B2-01,1,1
84,54:F0:B1:BC:36:10,PoliSemFio,25,670.0007948875427,B2-01,1,1
85,54:F0:B1:BC:36:11,eduroam,24,670.0007948875427,B2-01,1,1
86,54:F0:B1:BC:36:12,,29,670.0007948875427,B2-01,1,1
