,ap_mac,ap_name
258959,94:d4:69:fd:ae:c5:,
258961,94:d4:69:fd:ae:c7:,
258974,94:d4:69:f9:7f:c4:,Guest-CentraleSupelec
258975,94:d4:69:f9:7f:c6:,fabrique2024
258976,94:d4:69:f9:7f:c7:,stop&go
258978,94:d4:69:f9:7f:c9:,fabrique2024
258979,94:d4:69:f9:7f:ca:,
258980,94:d4:69:f9:7f:cb:,Guest-CentraleSupelec
258981,94:d4:69:f9:7f:cc:,CD91
258982,94:d4:69:f9:7f:cf:,eduroam
258990,94:d4:69:fd:ae:c9:,fabrique2024
258991,94:d4:69:fd:ae:ca:,
258992,94:d4:69:fd:ae:cb:,Guest-CentraleSupelec
258993,94:d4:69:fd:ae:cc:,CD91
258994,94:d4:69:fd:ae:cf:,eduroam
258996,b6:ea:b6:6f:d6:ea:,A52
259033,70:d3:79:2e:d6:a8:,stop&go
259141,94:d4:69:f7:90:80:,eduroam
259142,94:d4:69:f7:90:87:,
259166,9a:90:dd:d8:db:14:,Ali
259186,94:d4:69:f9:7f:c5:,
259254,10:be:f5:be:83:c0:,
261210,70:d3:79:2e:d6:a0:,eduroam
261211,70:d3:79:2e:d6:a3:,CD91
261213,70:d3:79:2e:d6:a6:,fabrique2024
261216,70:d3:79:2e:d6:a9:,fabrique2024
261217,70:d3:79:2e:d6:aa:,
261218,70:d3:79:2e:d6:ab:,Guest-CentraleSupelec
261220,70:d3:79:2e:d6:af:,eduroam
261241,94:d4:69:f6:e8:40:,eduroam
261242,94:d4:69:f6:e8:43:,CD91
261243,94:d4:69:f6:e8:44:,Guest-CentraleSupelec
261244,94:d4:69:f6:e8:45:,
261245,94:d4:69:f6:e8:46:,fabrique2024
261246,94:d4:69:f6:e8:47:,
261247,94:d4:69:f6:e8:48:,stop&go
267303,e8:cc:18:8d:73:00:,wifi hemicycle Amphi2 5g
268655,70:d3:79:2e:d6:a5:,
269754,10:be:f5:be:82:a8:,
271113,94:d4:69:f6:d9:c6:,fabrique2024
271545,e8:cc:18:8d:3c:c0:,wifi hemicycle 240 5g
278896,76:cc:16:7f:66:56:,Nico ...
284634,94:d4:69:f6:d9:c0:,eduroam
284635,94:d4:69:f6:d9:c5:,
284637,94:d4:69:f6:d9:c7:,
284638,94:d4:69:f6:d9:c8:,stop&go
285116,94:d4:69:f6:e8:4b:,Guest-CentraleSupelec
291915,94:d4:69:f6:d9:c3:,CD91
291916,94:d4:69:f6:d9:c4:,Guest-CentraleSupelec
291921,94:d4:69:f6:d9:c9:,fabrique2024
291922,94:d4:69:f6:d9:cb:,Guest-CentraleSupelec
291923,94:d4:69:f6:d9:cf:,eduroam
291938,94:d4:69:f6:e8:49:,fabrique2024
291939,94:d4:69:f6:e8:4a:,
291941,94:d4:69:f6:e8:4c:,CD91
291942,94:d4:69:f6:e8:4f:,eduroam
292716,1e:2a:2e:1b:43:de:,mi 8 d'Antoine
315887,94:d4:69:fd:b1:a8:,stop&go
316404,94:d4:69:fd:b1:a6:,fabrique2024
317724,94:d4:69:fd:b1:a0:,eduroam
317725,94:d4:69:fd:b1:a4:,Guest-CentraleSupelec
318299,02:9d:6b:f5:6f:50:,Galaxy S96f50
318306,84:3d:c6:9b:e3:50:,eduroam
318307,84:3d:c6:9b:e3:53:,CD91
318308,84:3d:c6:9b:e3:54:,Guest-CentraleSupelec
318309,84:3d:c6:9b:e3:55:,
318310,84:3d:c6:9b:e3:56:,fabrique2024
318311,84:3d:c6:9b:e3:57:,
318312,84:3d:c6:9b:e3:58:,stop&go
318313,84:3d:c6:9b:e3:5f:,eduroam
318314,84:3d:c6:f5:f1:80:,eduroam
318315,84:3d:c6:f5:f1:83:,CD91
318316,84:3d:c6:f5:f1:84:,Guest-CentraleSupelec
318317,84:3d:c6:f5:f1:86:,fabrique2024
318319,84:3d:c6:f5:f1:88:,stop&go
318321,84:3d:c6:f5:f1:8a:,
318326,94:d4:69:f7:90:85:,
318337,94:d4:69:f9:5b:ef:,eduroam
318338,94:d4:69:f9:7d:25:,
318339,94:d4:69:f9:7d:26:,fabrique2024
318340,94:d4:69:f9:7d:40:,eduroam
318342,94:d4:69:f9:7d:44:,Guest-CentraleSupelec
318343,94:d4:69:f9:7d:46:,fabrique2024
318344,94:d4:69:f9:7d:48:,stop&go
318348,94:d4:69:f9:7d:ca:,
318349,94:d4:69:f9:7d:cb:,Guest-CentraleSupelec
318351,94:d4:69:f9:7d:cf:,eduroam
318352,94:d4:69:f9:7e:40:,eduroam
318353,94:d4:69:f9:7e:43:,CD91
318354,94:d4:69:f9:7e:44:,Guest-CentraleSupelec
318355,94:d4:69:f9:7e:45:,
318356,94:d4:69:f9:7e:46:,fabrique2024
318357,94:d4:69:f9:7e:48:,stop&go
318358,94:d4:69:f9:7e:4f:,eduroam
318361,ee:8c:49:82:f5:6d:,Cs
318377,84:3d:c6:9b:e3:59:,fabrique2024
318378,84:3d:c6:9b:e3:5a:,
318379,84:3d:c6:9b:e3:5b:,Guest-CentraleSupelec
318380,84:3d:c6:9b:e3:5c:,CD91
318406,94:d4:69:f9:5b:e9:,fabrique2024
318407,94:d4:69:f9:5b:ea:,
318408,94:d4:69:f9:5b:eb:,Guest-CentraleSupelec
318409,94:d4:69:f9:5b:ec:,CD91
318431,94:d4:69:f9:7e:47:,stop&go
318433,94:d4:69:f9:7e:49:,fabrique2024
318434,94:d4:69:f9:7e:4b:,Guest-CentraleSupelec
318435,94:d4:69:f9:7e:4c:,CD91
318543,84:3d:c6:f5:f1:85:,
318573,94:d4:69:f9:7d:27:,
318595,94:d4:69:f9:7e:4a:,
318691,16:04:6b:e9:5a:d8:,Luc's Galaxy S21 5G
318721,94:d4:69:f6:c8:80:,eduroam
318722,94:d4:69:f6:c8:85:,
318723,94:d4:69:f6:c8:86:,fabrique2024
318724,94:d4:69:f6:c8:87:,
319004,94:d4:69:f6:c8:83:,CD91
319493,94:d4:69:f7:98:e4:,Guest-CentraleSupelec
319494,94:d4:69:f7:98:e5:,
320213,a4:88:73:4e:40:c3:,
320238,84:3d:c6:d6:b8:58:,
320257,94:d4:69:f6:c8:88:,
320258,94:d4:69:f6:c8:89:,fabrique2024
320259,94:d4:69:f6:c8:8a:,
320260,94:d4:69:f6:c8:8b:,Guest-CentraleSupelec
320261,94:d4:69:f6:c8:8c:,CD91
320262,94:d4:69:f6:c8:8f:,eduroam
320417,84:3d:c6:d6:b8:56:,fabrique2024
321249,94:d4:69:f6:c8:84:,Guest-CentraleSupelec
321269,94:d4:69:f7:98:e8:,stop&go
321478,94:d4:69:f6:ed:c0:,eduroam
321731,94:d4:69:f9:7d:c5:,
322636,94:d4:69:f9:7d:45:,
323092,94:d4:69:f7:98:e6:,fabrique2024
323093,94:d4:69:f7:98:e7:,
323294,84:3d:c6:d6:b8:54:,Guest-CentraleSupelec
323314,94:d4:69:f6:b5:a0:,eduroam
323360,94:d4:69:f9:7d:47:,
323488,94:d4:69:f9:7d:49:,fabrique2024
323489,94:d4:69:f9:7d:4a:,
323490,94:d4:69:f9:7d:4b:,Guest-CentraleSupelec
323491,94:d4:69:f9:7d:4c:,CD91
323492,94:d4:69:f9:7d:4f:,eduroam
323813,84:3d:c6:d6:b8:53:,CD91
325663,84:3d:c6:d6:b8:55:,
326046,7a:e8:8d:a0:8d:99:,iphone Antonin
326078,94:d4:69:f6:ed:c3:,CD91
326079,94:d4:69:f6:ed:c4:,Guest-CentraleSupelec
326080,94:d4:69:f6:ed:c5:,
326081,94:d4:69:f6:ed:c6:,fabrique2024
326082,94:d4:69:f6:ed:c7:,stop&go
326083,94:d4:69:f6:ed:c8:,stop&go
326084,94:d4:69:f6:ed:c9:,fabrique2024
326085,94:d4:69:f6:ed:ca:,
326086,94:d4:69:f6:ed:cb:,Guest-CentraleSupelec
326087,94:d4:69:f6:ed:cc:,CD91
326088,94:d4:69:f6:ed:cf:,eduroam
326112,94:d4:69:f9:7d:20:,eduroam
326113,94:d4:69:f9:7d:23:,CD91
326114,94:d4:69:f9:7d:24:,Guest-CentraleSupelec
326118,94:d4:69:f9:7d:28:,stop&go
331897,94:d4:69:f6:b5:a4:,Guest-CentraleSupelec
334447,00:0e:8e:6e:50:d4:,ClickShare-AMPHI01
334848,fa:da:0c:7e:d7:e8:,DIRECT-e8-HP M252 LaserJet
335387,e8:cc:18:8d:73:10:,wifi hemicycle Amphi2
337023,00:0e:8e:6e:4d:f3:,ClickShare-AMPHI02
337046,84:3d:c6:d6:b8:50:,eduroam
337563,96:3a:63:c5:76:e6:,Samsam
346876,94:d4:69:f7:90:89:,fabrique2024
346877,94:d4:69:f7:90:8b:,Guest-CentraleSupelec
346878,94:d4:69:f7:90:8c:,CD91
347591,94:d4:69:f7:90:8a:,
348024,94:d4:69:f7:90:8f:,eduroam
354557,2a:0f:fd:9d:02:99:,F-Ship
360106,e8:cc:18:8d:3c:d0:,wifi hemicycle 240
367920,84:3d:c6:d6:b8:5a:,
373540,94:d4:69:fd:aa:08:,stop&go
386908,94:d4:69:f6:b5:a6:,fabrique2024
386909,94:d4:69:f6:b5:a7:,
386910,94:d4:69:f6:b5:a8:,stop&go
386911,94:d4:69:f6:e3:23:,CD91
386912,94:d4:69:f6:e3:24:,Guest-CentraleSupelec
386913,94:d4:69:f6:e3:25:,
386914,94:d4:69:f6:e3:26:,fabrique2024
386915,94:d4:69:f6:e3:28:,stop&go
387047,94:d4:69:f6:b5:a9:,fabrique2024
387048,94:d4:69:f6:b5:ab:,Guest-CentraleSupelec
387049,94:d4:69:f6:b5:ac:,CD91
387050,94:d4:69:f6:b5:af:,eduroam
387121,94:d4:69:f6:b5:a3:,CD91
387374,94:d4:69:f6:b5:a5:,
388697,94:d4:69:f6:e3:20:,eduroam
390588,94:d4:69:f6:e3:27:,
392444,94:d4:69:f6:e3:29:,fabrique2024
392445,94:d4:69:f6:e3:2b:,Guest-CentraleSupelec
392446,94:d4:69:f6:e3:2c:,CD91
392447,94:d4:69:f6:e3:2f:,eduroam
397646,94:d4:69:f6:b5:aa:,
467140,e2:b5:d7:81:17:33:,DIRECT-KAPC-HP-RAPHmsZL
467628,ca:bf:e2:36:c6:9e:,DiegoSignal
467868,06:6c:59:fa:ec:a4:,DIRECT-WBDESKTOP-N6JS7O0mscM
473019,22:7e:3a:91:12:e7:,Entrez le mot de passe
479915,3e:62:30:32:6a:0b:,BenJ's
480226,70:d3:79:2e:8c:85:,
483229,fa:76:b1:c7:12:9d:,Hotspot 123
484586,48:2c:a0:ac:23:36:,Raph
530646,0e:3c:3f:e3:c2:98:,S20 FE
555483,94:d4:69:fd:b1:a3:,CD91
555657,94:d4:69:fd:b1:a7:,
567226,70:d3:79:2e:d1:80:,eduroam
567227,70:d3:79:2e:d1:83:,CD91
567228,70:d3:79:2e:d1:84:,Guest-CentraleSupelec
567229,70:d3:79:2e:d1:86:,fabrique2024
567230,70:d3:79:2e:d1:88:,stop&go
567250,94:d4:69:fd:aa:00:,eduroam
567251,94:d4:69:fd:aa:03:,CD91
567252,94:d4:69:fd:aa:04:,Guest-CentraleSupelec
567253,94:d4:69:fd:aa:06:,fabrique2024
567257,f2:b4:30:2b:7c:da:,Galaxy S10+
567267,70:d3:79:2e:d1:89:,fabrique2024
567268,70:d3:79:2e:d1:8f:,eduroam
567340,94:d4:69:fd:aa:07:,stop&go
567342,94:d4:69:fd:aa:09:,fabrique2024
567343,94:d4:69:fd:aa:0a:,
567344,94:d4:69:fd:aa:0b:,Guest-CentraleSupelec
567345,94:d4:69:fd:aa:0c:,CD91
567346,94:d4:69:fd:aa:0f:,eduroam
567501,70:d3:79:2e:d1:87:,
567692,94:d4:69:fd:aa:05:,
567762,70:d3:79:2e:d1:8a:,
567763,70:d3:79:2e:d1:8b:,Guest-CentraleSupelec
567764,70:d3:79:2e:d1:8c:,CD91
567984,70:d3:79:2e:d1:85:,
588502,d6:93:7a:0f:47:26:,iPhone amandine 
592078,06:5a:cf:49:7e:9a:,iPhone
604652,00:0e:8e:6e:4d:f0:,ClickShare-9714110766
604982,f6:67:28:8e:4e:4d:,te Ja
625702,94:d4:69:f9:7d:2f:,eduroam
626839,94:d4:69:f9:7d:29:,fabrique2024
644142,d6:cf:86:16:e6:c5:,Wi-Fi
653801,94:d4:69:fa:7f:69:,fabrique2024
654149,94:d4:69:fa:7f:68:,
654447,94:d4:69:fa:7f:6a:,
656916,a4:88:73:4e:03:84:,Guest-CentraleSupelec
660729,94:d4:69:fa:99:08:,stop&go
665328,94:d4:69:f6:b3:e0:,eduroam
665329,94:d4:69:f6:b3:e3:,CD91
665330,94:d4:69:f6:b3:e4:,Guest-CentraleSupelec
665331,94:d4:69:f6:b3:e6:,fabrique2024
665332,94:d4:69:f6:b3:e8:,stop&go
665333,94:d4:69:f6:b6:83:,CD91
665334,94:d4:69:f6:b6:84:,Guest-CentraleSupelec
665335,94:d4:69:f6:b6:85:,
665336,94:d4:69:f6:b6:86:,fabrique2024
665337,94:d4:69:f6:b6:88:,stop&go
665344,94:d4:69:fa:99:00:,eduroam
665345,94:d4:69:fa:99:03:,CD91
665346,94:d4:69:fa:99:04:,Guest-CentraleSupelec
665347,94:d4:69:fa:99:05:,
665348,94:d4:69:fa:99:06:,fabrique2024
665349,94:d4:69:fa:99:07:,stop&go
665351,94:d4:69:fa:99:09:,fabrique2024
665352,94:d4:69:fa:99:0a:,
665353,94:d4:69:fa:99:0b:,Guest-CentraleSupelec
665354,94:d4:69:fa:99:0c:,CD91
665355,94:d4:69:fa:99:0f:,eduroam
665356,94:d4:69:fd:b0:40:,eduroam
665357,94:d4:69:fd:b0:43:,CD91
665358,94:d4:69:fd:b0:44:,Guest-CentraleSupelec
665359,94:d4:69:fd:b0:45:,
665360,94:d4:69:fd:b0:46:,fabrique2024
665361,94:d4:69:fd:b0:48:,stop&go
665365,94:d4:69:fd:b1:a5:,
665415,94:d4:69:fd:b1:a9:,fabrique2024
665416,94:d4:69:fd:b1:aa:,
665417,94:d4:69:fd:b1:ab:,Guest-CentraleSupelec
665418,94:d4:69:fd:b1:ac:,CD91
665419,94:d4:69:fd:b1:af:,eduroam
665700,94:d4:69:f6:b3:e5:,
665867,94:d4:69:f6:b3:e7:,
666055,94:d4:69:fd:b0:47:,
666237,94:d4:69:f6:b3:e9:,fabrique2024
666238,94:d4:69:f6:b3:ea:,
666239,94:d4:69:f6:b3:eb:,Guest-CentraleSupelec
666240,94:d4:69:f6:b3:ec:,CD91
666241,94:d4:69:f6:b3:ef:,eduroam
667254,94:d4:69:f6:c0:c6:,fabrique2024
667802,94:d4:69:f6:c0:c8:,stop&go
667968,94:d4:69:f6:b6:80:,eduroam
667971,94:d4:69:f6:c0:c3:,CD91
667972,94:d4:69:f6:c0:c4:,Guest-CentraleSupelec
667973,94:d4:69:f6:c0:c5:,
668552,94:d4:69:f6:c0:c0:,eduroam
670128,94:d4:69:fd:b0:4c:,CD91
673553,da:f9:e0:59:4a:7e:,Mathieu's Galaxy A52s 5G
673679,94:d4:69:fd:b0:49:,fabrique2024
674145,94:d4:69:f6:b6:87:,
679058,94:d4:69:fd:b0:4b:,Guest-CentraleSupelec
679060,94:d4:69:fd:b0:4f:,eduroam
680574,94:d4:69:f6:c0:c7:,
701521,70:f3:5a:96:66:e7:,stop&go
701522,70:f3:5a:96:66:e9:,fabrique2024
