timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,8a:6b:77:02:ec:53,94:d4:69:f6:b5:a5,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,ba:5a:e1:12:88:a3,ce:19:66:a1:5b:2c,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714720315.6174886,,,-65,,,-74,,,,,,,,,,-80,,,,,,,,,,,,,-81,,,-81,,-78,-79,,-80,-81,-72,-77,-76,-72,-72,-72,-80,-80,-72,-80,,-79,-80,-79,,-79,-77,-77,-77,-77,-77,-77,-77,,-75,-76,,,-89,,,,-62,-62,-63,-63,-63,-63,-62,-63,-63,-63,,-78,-79,-79,,-78,,,,,,
1714720322.6191325,,,-66,,,-74,,,,,,,,,,,,,,,,,,,,,,,-81,,,-81,,,-79,-79,-78,-78,-76,-76,-76,-76,-76,-76,-83,-83,-76,-82,,-83,-83,-82,,-83,-75,-75,-75,-76,-75,-75,-75,-75,-75,-75,,,-89,,,,-69,-69,-69,-69,-69,-63,-69,-69,-69,-69,-81,-81,-82,-81,-81,-81,,,,,,
1714720329.6222951,,,-62,,,-73,,,,,,,,,,,,,,,-80,-81,-81,,,,,,,,,,,,,,,,-70,-70,,-71,-70,-70,-70,-70,-70,-70,,-79,-80,-80,,-80,-79,-79,-80,-79,-79,-79,-79,-86,-79,-79,-86,-87,-86,-86,,,-62,-62,-62,-62,-62,,-62,-77,-62,-62,,-77,-77,-77,,-78,,,,,,
1714720336.6283221,,,-62,,,-73,,,,,,,,,,,,,,,-80,-81,-81,,,,,,,,,,,,,,,,-70,-70,,-71,-70,-70,-70,-70,-70,-70,,-79,-80,-80,,-80,-79,-79,-80,-79,-79,-79,-79,-86,-79,-79,-86,-87,-86,-86,,,-62,-62,-62,-62,-62,,-62,-77,-62,-62,,-77,-77,-77,,-78,,,,,,
1714720343.634577,-94,,-68,,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,-80,,,-79,-72,-72,-71,,-76,,-79,-76,,-79,,-79,-79,-79,,-79,-75,-75,-75,,-76,-75,-90,-87,,-85,,-91,-90,-89,-91,-91,-58,-59,-58,-59,-59,-58,-59,-59,-58,-58,-77,-79,-79,-79,-77,-79,,,,,,
1714720350.63863,-95,,-64,,-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-78,-72,-78,,-78,-78,-83,-83,-78,-83,,-83,-82,-82,,-83,-75,,,-75,-75,-75,-75,-90,,-91,,-89,,-90,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,,-79,-79,-78,,-79,,-91,,,,
1714720357.643899,,,,,,-75,,,,,,,,,,,,,,,,,,,,-84,-84,-84,-78,,,-77,-77,-77,,,,,,-73,,-74,-74,,-78,-78,-73,-79,,-79,-78,-78,,-79,,,-75,,-76,,-86,-86,,-86,,-86,-86,-86,,-86,-59,-59,-59,-60,-59,-60,-60,-59,-59,-60,,-79,-79,-79,,-79,,,,,,
1714720364.6488552,,,-62,,,-81,,,,,,,,,,,,-81,,,,,,,,-84,-84,-84,-78,,,-77,-77,-77,-78,,-79,-79,-77,-77,-77,-77,-76,-77,-81,-80,-77,-81,,-80,-81,-81,,-81,,,-77,-77,-76,,-86,-86,-78,-86,,-86,-86,-86,,-86,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,,
1714720371.6543102,,,-62,,,-81,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,,-78,,-79,-79,-77,-77,-77,-77,-76,-77,-81,-80,-77,-81,,-80,-81,-81,,-81,,,-77,-77,,,-77,,-78,-78,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,,
1714720378.660427,,,-64,,,,,,,,,,,,,,,,,,,,-81,,,,,,,,,,,,-79,,-79,-79,-78,-77,-77,-77,-78,,-81,-81,-77,-81,,-81,-81,-81,,-81,-76,-76,-75,-75,-75,-75,-76,-76,-76,-76,,,,,,,-62,-62,-62,-63,-63,-63,-63,-63,-63,-63,,-79,-79,-79,,-80,,,,,,
1714720385.6645799,,,-66,,,,,,,,,,,-81,,-80,,,-80,-80,-80,-80,-80,,,,,,,,-80,-80,,,-79,,-80,-80,-74,-74,-75,-74,-74,-74,-81,-81,-75,-81,,-81,-81,-81,,-81,-76,-77,-76,-77,-76,-77,-76,-77,-77,-76,,,-85,-86,,,-57,-57,-57,-57,-58,-63,-57,-63,-56,-56,,-76,-76,-76,,-76,,,,,,
1714720392.6718717,,,-70,-91,,,,,,,,,,-81,-81,-80,,,-80,-80,-80,-80,-81,,,,,,,,-80,-80,-79,,,-81,-80,-80,-78,-78,-78,-79,-78,-78,-78,-79,-78,-78,,,,,,-81,-75,-75,-76,-76,-75,-75,-75,-75,-75,-75,,-90,-85,-86,,,-64,-63,-63,-63,-64,-64,-64,-78,-64,-64,,-79,-78,-78,,-78,,,,-90,,
1714720399.6761613,,-95,-65,,,-73,,,,,,,,-82,-82,-82,-82,-82,,,,,-82,,,,,,,,,,,,,,,,-75,-75,-75,-75,-75,,-78,-78,-75,-78,,-78,-78,-78,,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-78,,,,,,,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57,,-75,-75,-76,,-76,-86,,,,,
1714720406.6810343,,-95,-65,,,-73,,,,,,,,-82,-82,-82,-82,-82,,,,,-82,,,,,,,,,,,,,,,,-75,-75,-75,-75,-75,,-78,-78,-75,-78,,-78,-78,-78,,-78,-78,-78,-78,-78,-78,-78,-78,-78,-79,-78,,,,,,,-58,-57,-57,-57,-57,-57,-57,-57,-57,-57,,-75,-75,-76,,-76,-86,,,,,
1714720413.6841116,,-93,-67,,,-75,,,,,,,,-80,-79,-80,-80,-79,-79,-79,-79,,,,,,,,,,-79,,,-79,-79,-79,-79,,-74,-74,-74,-74,-74,-74,-77,-78,-74,-78,,-78,-78,-78,,-77,-75,-75,-75,-75,-74,,-75,-74,-74,-75,,-89,,,,,-60,-59,-60,-59,-59,-59,-60,-62,-59,-60,,-77,-77,-77,,-77,,,,,,
1714720420.6889591,,-93,-72,,,-75,,,,,,,,-82,-82,-80,-80,-79,-79,-79,-79,-82,-81,,,,,,,,-79,,,-80,-79,-79,-79,,-78,-79,-78,-78,-78,-78,-81,-81,-78,-81,,-81,-81,-82,,-81,-76,-76,-76,-76,-75,-75,-75,-75,-76,-76,,,,,,,-64,-64,-64,-64,-65,-64,-65,-78,-64,-64,,-78,-78,-78,,-78,,,,,,
1714720427.688949,,,-67,,,-75,,,,,,,,,,,,,-79,-79,,,-79,,,,,,-79,,-78,,,,,,,,-77,-78,-77,-77,-77,,-77,-77,-77,-78,,-78,-78,-78,,-78,-76,-75,-75,-75,-75,-75,-75,-75,-75,-75,,,,-86,,,-60,-60,-60,-60,-60,-60,-60,-76,-60,-61,,-77,-76,-76,,-76,-86,,,,,
1714720434.696236,,,-66,,,-83,,,,,,,,-81,-81,,,,-81,-82,-81,-81,-81,,,,,,-79,,-80,,-80,-81,-80,,,-80,-76,-76,-76,-75,-76,-76,-82,-81,-76,-81,,-81,-81,-81,,-81,-76,-76,-76,-76,-76,-76,-76,-75,-75,-76,,,,-86,,,-64,-64,-64,-64,-65,-65,-64,-78,-64,-64,,-79,-79,-79,,-79,-86,,,,,
1714720441.7009518,,,-66,,,-83,,,,,,,,-81,-81,,,-81,-81,-82,-81,-81,-81,,,,,,,,-80,,-80,-81,-80,,,-80,-76,-76,-76,-75,-76,-76,-82,-81,-76,-81,,-81,-81,-81,,-81,-76,-76,-76,-76,-76,-76,-76,,,-76,,,,,,,-64,-64,-64,-64,-65,-65,-64,-78,-64,-64,,-79,-79,-79,,-79,,,,,,
1714720448.7067802,,,-63,,,-81,,,,,,,,,,,-81,,,,,-82,-82,,,,,,-80,-79,-80,-80,,,-80,-79,,,-76,,,-76,,,-80,-81,-76,-80,,-80,-80,-80,,-80,-76,-76,-76,-76,-76,-77,,,-76,-76,-89,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-78,-78,-78,-78,-78,-78,,-94,,,,
1714720455.7115414,,,-68,,,-75,,,,,,,,,,,-79,,,-79,-79,-80,-79,,,,,,-79,-79,-79,-79,,-78,-79,-79,-79,,-75,-75,-75,-75,,-75,-78,-78,-75,-79,,-78,-78,-79,,-78,-74,-74,-76,-74,-74,-74,-74,-74,-74,-74,-89,,,,,,-60,-59,-59,-59,-60,-59,-59,-59,-59,-59,-77,-77,-77,-77,-77,-77,,-96,,,,
1714720462.714779,,,-66,,,-75,,,,,,,,,,,-79,,,-82,-80,-81,-79,,,,,,-79,-79,-79,-79,,-80,-79,-79,-79,-79,-76,-76,-76,-76,,-76,-81,-82,-76,-81,,-82,-82,-82,,-82,-77,-77,,-77,-76,-76,-77,-77,-76,-77,,,,,,,-64,-59,-64,-64,-60,-59,-59,-59,-59,-59,-79,-78,-79,-79,-79,-79,,-96,,,,
1714720469.7198265,,,-67,,,-75,,,,,,,,-80,-80,-80,-80,,-80,-80,-80,-81,-80,,,,,,,,-82,-81,,-81,-81,-81,,,-73,-73,,-72,-72,-73,-72,-72,-72,-73,,-82,-82,-82,,-83,-74,-74,-74,-73,-73,-73,-74,-73,-74,-73,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-76,-76,-77,,-76,,,,,,
1714720476.7253742,,,-67,,,-75,,,,,,,,-80,-80,-80,-80,,-80,-80,-80,-81,-80,,,,,,,,-82,-81,,-81,-81,-81,,,-73,-73,,-72,-72,-73,-72,-72,-72,-73,,-82,-82,-82,,-83,-74,-74,-74,-73,-73,-73,-74,-73,-74,-73,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-76,-76,-77,,-76,,,,,,
1714720483.7281306,,,-64,,-94,-76,,,,,,,,-81,-80,-80,-80,-81,,-80,-81,-80,-81,,,,,,,,,,,,,,,-81,-74,-74,-74,-74,,,-74,-77,-74,-78,,-78,-78,-78,,-77,-77,-77,-75,-74,-74,-75,-74,-75,-75,-75,,,-85,,,-85,-61,-61,-61,-61,-61,-61,-61,-60,-60,-61,-78,-77,-77,-76,-78,-76,,,,,,
1714720490.7317178,,,-62,,,-76,-83,,,,,,,-81,-80,-80,-80,-81,-81,-80,-81,-80,-81,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,,-76,-82,-74,-82,,-82,-82,-82,,-81,,-76,-75,-75,-76,-76,-76,-76,-76,-76,,-90,-85,,,-85,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-76,-76,-76,,-76,-87,-91,,,,
1714720497.736646,,,-62,-92,,,,,,,,,,,,,-81,-80,,,-80,-80,-81,,,,,,,,,,,-78,-78,,-78,-78,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,,-79,-79,-79,,-80,-76,-76,-76,-76,-76,-76,-75,-76,,,,,,,,,-59,-59,-59,-59,-59,-60,-59,-60,-60,-59,,-77,-77,-77,,-78,-87,,,,,
1714720504.742506,,,-62,-92,,-83,,,,,,,,,,,-81,-82,,,-80,-80,-81,,,,,,-80,,-81,-81,,-78,-78,,-81,-78,-75,-75,-75,-75,-76,-72,-75,-76,-75,-76,,-81,-81,-81,,-81,-76,-76,-77,-77,-76,-76,-76,-77,-76,-76,,,,,,,-65,-65,-64,-64,-65,-65,-64,-64,-64,-65,,-77,-77,-78,,-78,-87,,,,,
1714720511.7475743,,,-62,,,-83,,,,,,,,,,,,-82,-82,-82,,,,,,,,,-80,-81,-81,-81,,,,-82,-81,,-75,-75,-75,-75,-76,,-75,-76,-75,-76,,-81,-81,-81,,-81,-76,-76,-77,-77,-76,-76,-76,-77,-76,-76,,,,,,,-65,-65,-64,-64,-65,-65,-64,-64,-64,-65,,-77,-77,-78,,-78,,,,,,
1714720518.752893,,,-63,,-94,-79,,,,,,,,,,-83,,,,,-83,-82,,,,,,,,,,,,,,,,-80,-75,-75,-75,-75,-75,-75,-80,-81,-75,-81,,-81,-81,-81,,-81,-75,-75,-76,-76,-76,-76,-75,-76,-76,-76,,-90,,,,,-65,-65,-66,-66,-66,-66,-66,-66,-66,-65,,-78,-78,-78,,-78,,,,,,
1714720525.7583275,,,-62,,-94,-82,,,,,,,,-80,,-82,,,,,,-82,,,,,,,,,,,,-81,-77,-78,-77,-77,-76,-76,-75,-75,-76,-76,-81,-81,-75,-81,,-81,-81,-81,,-81,-77,-76,-76,-76,-76,-76,-76,-76,-76,-76,,-84,-84,-84,,-85,-65,-65,-65,-65,-65,-61,-65,-65,-65,-65,,-78,-78,-78,,-77,,,,,,
1714720532.7611394,,,-63,,-94,-74,,,,,,,,,,-79,-80,-79,-79,,,-82,,,,,,,,,-78,-78,,-78,-78,-78,-78,-78,-76,-73,-74,-73,-73,-73,-79,-79,-74,-79,-79,-79,-79,-79,-79,-79,-74,-74,-73,-76,-76,-76,-76,-73,-73,-73,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-77,-77,-77,,-77,,,,,,
1714720540.7370834,,,-62,,-93,-82,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,-74,-74,-75,-74,-74,-74,-74,-74,-74,-74,,-81,-81,-81,,-81,-77,-77,-76,-76,-76,-77,-77,-77,-77,-76,,,,,,,-67,-66,-67,-67,-67,-67,-67,-67,-67,-67,,-79,-79,-79,,-80,,,,,,
1714720546.7733095,,,-68,,-93,-82,,,,,,,,,-81,-80,,,-81,,,,,,,,,,,,-78,-78,,-78,-78,-78,-78,-78,-74,-74,-74,-74,-74,-73,-73,-73,-73,-74,,-78,-79,-79,,-78,-75,-77,-76,-74,-74,-74,-74,-74,-74,-75,,,-85,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-78,-78,-78,,-78,,,,,,
1714720553.776334,,,-62,,,,,,,,,,,,-81,-83,-81,,-81,-81,-81,,,,,,,,,,-78,-78,-78,-78,-78,-78,-78,-78,,,-74,-75,,-75,-75,-75,-75,-75,,-81,-81,-81,,-81,-77,,,-77,-77,-76,-76,-76,-77,-76,,-85,-85,,,,-67,-67,-67,-67,-67,-67,-67,-62,-67,-67,,-78,-78,-79,,-79,-86,-91,,,-93,
1714720560.7797887,,,-66,,-93,-81,,,,,,,,,,-81,,,,,,,-83,,,,,,,-79,-79,-79,,-79,-79,-79,-79,-79,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,,-79,-79,-79,,-78,-77,-77,-75,-75,-75,-75,-75,-76,-76,-76,,,-85,,,,-61,-61,-61,-61,-61,-61,-61,-79,-61,-61,,-78,-78,-79,,-79,,,,,,
1714720567.786763,,,-62,,-92,-80,,,,,,,,-84,-84,,,,,,,,,,,,,,,-81,,,,,,,-81,,-75,-75,-75,-75,-75,-74,-74,-74,-74,-74,,,,,,,-76,-77,-75,-76,-76,-76,-76,-76,-76,-76,,-91,-90,-92,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,,,,,,,,,,,
1714720574.7918942,,,-62,,-92,-80,,,,,,,,-84,-84,,,,,,,,,,,,,,,-81,,,,,,,-81,,-75,-75,-75,-75,-75,-74,-74,-74,-74,-74,,,,,,,-76,-77,-75,-76,-76,-76,-76,-76,-76,-76,,-91,-90,-92,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,,,,,,,,,,,
1714720581.7961595,,,-62,,,-78,,,-82,,,,,-83,-82,-83,-82,-83,,-83,,,-83,,,,,,-78,-78,,-78,-80,-79,-79,-78,-78,-78,-74,-74,-74,-74,-74,-74,-74,-74,-74,-73,,-84,-83,-84,,-83,-77,,,-78,,,-78,-78,-78,-78,,,,,,,-61,-60,-61,-61,-61,-61,-61,-61,-61,-61,-79,-80,-79,-79,-79,-79,,-94,,,,
1714720588.800891,,-94,-63,-88,,-76,,,,,,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,-73,-73,-73,-73,-72,-72,-72,-72,-73,-72,,-82,-82,-82,,-82,-78,-78,-78,-78,-77,-77,-78,-78,-77,,,,,,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,-77,-77,-77,-77,-77,-77,-85,,,,,
1714720595.8038044,,-94,-61,-88,,-79,,,,,,,,-82,-82,-82,,-82,,,-82,-82,,,,,,,,,,,,,,,,,-74,-74,-75,-74,-74,-72,-74,-74,-74,-74,,-79,-79,-79,,-79,-76,-77,-77,-77,-77,-76,-76,-76,-77,-76,,-91,,,,,-66,-64,-65,-65,-66,-64,-65,-64,-65,-65,-81,-81,-81,-82,-82,-81,-85,,,,,
1714720602.8109493,,,-63,,,-78,,,,,,,,-82,-82,-82,,-82,,-82,-82,-82,-82,,,,,,-78,-78,,,,-78,-79,-78,-78,-78,-74,-74,-75,-76,-76,,-74,-74,-74,-76,,-82,-81,-81,,-81,-76,-77,-76,-76,-76,-76,-76,-76,-76,-75,,-91,,,,,-64,-64,-63,-63,-63,,-63,-77,-63,-64,-81,-76,-76,-76,-82,-76,,,,,,
1714720610.790774,,,-66,,-95,-78,,,,,,,,,,,,-82,-82,,,-81,-81,,,,,,-79,,,,,,,-80,,-79,-76,-77,-75,-77,-76,-77,-81,-81,-81,-81,-81,-80,-81,-81,-81,-81,-77,-77,-77,-77,-77,-77,-91,-77,-76,-77,,,,,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,,-80,-80,-80,,-80,,,,,,
1714720616.8188283,,,-63,,-95,-78,,,,,,,,,-82,,,-82,-82,,,-81,-82,,,,,,-79,,,,,-78,-77,-78,-78,-78,-75,-75,-75,-75,-75,-74,-81,-81,-81,-80,-81,-81,-81,-81,-81,-81,-77,-75,-75,-75,-75,-75,-91,-75,-75,-74,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-64,-64,,-79,-79,-79,,-79,,,,,,
1714720623.824998,,,-63,,-94,-79,,,,,,,-84,-81,-82,,,,,,,,-82,,,,,,,,,,,-78,-77,-78,-80,-78,-75,-74,-74,-74,-74,-75,-82,-82,-75,-82,,-82,-83,-83,,-82,-78,-78,-78,-78,-75,-75,-75,-75,-78,-78,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,,-81,-82,-81,,-82,-86,,,,,
1714720630.8303566,,,-63,,-94,-77,,,,,,,,-81,-82,,,,,,,,,,,,,,-79,-78,-78,-78,-79,-78,-78,-79,-79,-78,-75,-74,-74,-74,-74,-75,-82,-82,-75,-82,,-82,-82,-82,,-81,-78,-74,-78,-78,,,,,-78,-74,,,,,,,-62,-63,-62,-62,-63,-63,-63,-63,-62,-63,,-79,-79,-79,,-79,-85,,,,,
1714720637.8354518,,,-65,,-94,-81,,,,,,,,-81,,-81,-81,,,,,,-81,,,,,,,,,,,,,,,,-75,-75,,-76,-75,-75,-83,-84,-75,-84,,-84,-84,-83,,-83,-77,,-78,-78,-77,-77,-77,-77,-78,-78,,,,,,,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,,-84,-84,-85,,-84,,,,,,
1714720644.8377519,,,-63,,-94,,,,,,,,,-81,,,-82,-81,-80,-80,,,-81,,,,,,,,,,,-79,-79,,-78,-79,-75,-75,-75,-75,-75,-75,-88,-88,-74,-89,,-89,-88,-88,,-88,-78,-78,-78,-77,-77,-77,-77,-77,-77,-77,,-87,,-87,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,,-82,-83,-83,,-82,,,,,,
1714720651.841908,,-93,-67,,-94,-74,,,-84,,,-83,,-81,,,-82,-81,-80,-80,,,-81,,,,,,,,,,,,,,,,-75,-75,-73,-73,-74,-73,-83,-84,-74,-83,,-83,-82,-83,,-83,-77,-77,-77,-76,-77,-77,-77,-77,-77,-77,,,-86,-86,,-85,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,,-79,-79,-79,,-79,,,,,,
1714720658.8470037,,,-72,,,-80,,,,,,,,,,,-81,,,,,-81,-81,,,,,,,,,-81,,,,-80,,,-76,-76,-77,-76,,-76,-76,-76,-77,-76,,-83,-83,-83,,-83,-77,,,-77,,,-77,,-77,-77,,,-89,-89,,,-67,,-67,-68,-67,-67,-67,-67,-67,-67,,-82,-82,-82,,-82,,,,,,
1714720665.8519385,,-91,-67,,,-74,-82,,,,-83,,,,,,-81,,,,,-81,-82,,,,,,,,,-81,,,-80,-80,-80,-80,-76,-76,-74,-73,-73,-73,-76,-74,-73,-73,-81,-81,-81,-81,-82,-82,-77,,,-77,-75,,-77,-88,-75,-74,,,-89,-89,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-81,-81,-81,,-81,,,,,,
1714720672.8567345,,-91,-67,,,-74,-82,,,,-83,,,,,,,,,,,-81,-82,,,,,,,,,,,,-80,-80,-80,-80,,,-74,-73,-73,-73,-81,-74,-73,-73,-81,-81,-81,-81,-82,-82,,,,,-75,,,-88,-75,-74,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-81,-81,-81,,-81,,,,,,
1714720679.8600228,,,-67,,,-75,,,,,,,,,,-81,,,,-80,,-80,-80,,,,,,-78,-79,-78,-79,,-79,-79,-79,-79,-81,-76,-76,-75,-75,-75,,-84,-84,-75,-84,,-84,-83,-82,-82,-82,-75,-75,-75,-75,,-75,-75,-87,-75,-75,,,-86,-86,,-86,-62,-62,-62,-62,,-62,-62,-62,-62,-62,,-81,-81,-82,,-82,,,,,,
1714720686.8655484,,-92,-63,,,-75,,,,,,,,,,-80,,,,-80,,-80,-79,,,,,,-78,-79,-78,-79,,-79,-79,-79,-79,,-76,-76,-76,-75,,,-82,-82,-75,-83,,-82,-82,-82,-82,-83,-78,-78,-77,-78,,-77,-77,-87,-77,-77,,,-86,-86,,-86,-66,-65,-65,-65,-65,-66,-66,-66,-66,-66,,-80,-80,-81,,-81,,,,,,
1714720693.8710628,,,-65,,,,,,-83,-83,,,,-80,-80,-80,-79,-79,-79,-79,-79,-79,-79,,,,,,,,,-79,,-79,-79,,,-79,-73,,-74,-73,,,-83,-83,-73,-83,-83,-83,-82,-83,-83,-83,-78,-78,-77,-78,-77,-77,-77,-77,-76,-76,,,,-86,,,-64,-65,-64,-64,-63,-64,-63,-64,-63,-63,,-80,-80,-80,,-80,,,,,,
1714720700.8763425,,,-62,,,,,-84,-83,-83,,,,-79,-80,-79,-79,,-79,-79,-80,-79,-79,,,,,,,,,-79,-79,-79,-79,,,-79,-75,-75,-74,-75,,,-82,-82,-73,-82,-83,-82,-83,-82,-82,-82,,,-78,,,,,-87,-77,-76,,-87,-88,-86,,-89,-66,-66,-66,-66,-66,-66,-65,-65,-66,-65,,-81,-80,-80,,-80,-85,,,,,
1714720708.8535278,,,-67,,,,-83,-82,-82,-82,-81,,,,,,,,,,-80,,-80,,,,,,,-79,-79,,,,,,,,-74,,,,,,-80,-80,,-73,,-80,-80,-80,,-80,,,,,,,-86,-87,,-87,,-87,-87,,,-86,-64,-64,-64,-64,-64,-65,-65,-64,-65,-65,,-82,-82,-82,,-82,,,,,,
1714720714.8866599,,,-66,,,-82,-83,-82,-82,-82,-81,,,,,-80,-80,,,-81,-80,,-80,,,,,,,-79,-79,,,,,,,,-74,-74,-75,-74,,-74,-84,-84,-74,-74,,-83,-84,-84,,-84,-78,-78,-78,-78,,-78,-86,-87,-78,-87,,-87,-87,,,-86,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,,-82,-82,-82,,-82,,,,,,
1714720721.8921454,,,-66,,,-82,-82,-82,-81,,,,,,-81,-80,-80,-80,,-81,,,-80,,,,,,,,-81,,,-82,-81,,,-81,-71,-71,-71,-74,-71,-70,-79,-79,-71,-71,,-79,-80,-79,,-79,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,,,,,,,-61,-65,-65,-62,-62,-61,-61,-65,-61,-61,,-81,-81,-82,,-82,,,,,,
1714720728.8970056,,,-68,,-95,,,,,,,,,-80,,-80,-80,-81,-80,-81,,,-80,,,,,,-79,-78,,,-79,-79,,,-79,-79,-77,-78,-78,-77,-77,-77,-77,-77,-77,-77,,-86,-86,-87,,-87,-78,-78,-78,-77,-77,-78,-77,-77,-78,-77,,-90,,-89,,,-64,-64,-64,-64,-64,,-64,-64,-64,-64,,-85,-85,-86,,-86,,,,,,
1714720735.9018877,,,-68,,-95,,,,,,,,,-80,,-80,-80,-81,-80,-81,,,-80,,,,,,-81,-78,,,-81,-80,-80,,-80,-81,-77,-78,-78,-77,-77,-77,-74,-77,-74,-74,,-83,-82,-83,,-83,-69,-73,-73,-73,-73,-72,-73,-73,-72,-73,,-90,,-89,,,-63,-62,-62,-62,-62,-62,-62,-62,-62,-63,,-78,-78,-78,,-78,,,,,,
1714720742.906836,,,-68,,,,-82,-81,,,,,,,,,,,,,,,,,,,,,-81,,,,-81,-80,-80,-80,-80,-81,,,,,,,-74,-82,-74,-74,,-83,-82,-83,,-83,-69,-73,-73,-73,-73,-72,-73,-73,-72,-73,,,,,,,-63,-62,-62,-62,-62,-62,-62,-62,-62,-63,,-78,-78,-78,,-78,,,,,,
1714720749.9133024,,,-68,,,-84,,,,,,,,-79,-79,,,-79,-79,,,-78,-79,,,,,,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,,-73,-73,-73,-73,-73,-83,-83,-73,-83,,-82,-84,-83,-84,-83,-76,-76,,-76,-75,-76,-75,,-76,-76,,,-87,-88,,,-64,,-65,-65,-65,-63,-65,-79,-65,-64,,-79,-79,-79,,-79,,-87,,,,
