timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,10:be:f5:be:83:c0,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,32:3d:6b:ac:cc:58,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a0,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a5,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a7,94:d4:69:f6:b5:a8,94:d4:69:f7:98:e9,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e5,94:d4:69:fd:ac:e6,94:d4:69:fd:ac:e7,94:d4:69:fd:ac:e8,94:d4:69:fd:ac:e9,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b1:e0,94:d4:69:fd:b1:e3,94:d4:69:fd:b1:e4,94:d4:69:fd:b1:e5,94:d4:69:fd:b1:e6,94:d4:69:fd:b1:e7,94:d4:69:fd:b1:e9,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714717744.5807633,-92,,,,,-79,-77,,,,,,,,,,-82,-82,,,,,-82,-82,-83,-82,,,,,,,,,,,,,,,,,,,,,-78,-78,-77,,,,-77,-77,-77,-78,-71,,,-71,-71,-71,-71,-71,-71,-71,-84,-84,-84,-84,,-85,,,,,,-76,-76,-76,-75,,-76,-76,-90,-76,-76,,,,,,,,,,,,,,-54,-54,-54,-54,-54,-54,-80,-80,-54,-81,,-80,-80,-80,,-80,,,,
1714717751.6037748,-92,,,,,-74,-75,,,,,,,,,,-81,-81,,,,,-82,-83,-82,-82,,,,,,,,,,,,,,,,,,,,,-78,,-78,,,,,,-78,-78,-72,-71,,-72,-72,-72,-72,-71,-71,-71,-83,-87,-87,-86,-83,-87,,,,,,-78,-75,-76,-78,-77,-77,-77,-83,-77,-77,,,,,,,,,,,,,,-55,-55,-55,-55,-55,-55,-77,-76,-55,-76,,-76,-76,-76,,-76,,,,
1714717758.6074135,-92,,,,,,-75,,,,,,,,,,-81,,,-81,-82,-83,-82,-83,,,,,,,,,,,,,,,,,,,,,,,-78,,-78,-78,,,,,-78,-78,-72,-71,-71,-72,-72,-72,-72,-71,-71,-71,,-87,-87,-86,,-87,,,,,,-78,,,-78,-77,-77,-77,-77,-77,-77,,,,,,,,,,,,,,-55,-55,-55,-55,-55,-55,-77,-76,-55,-76,,-76,-76,-76,,-76,,,,
1714717765.633118,-94,,,,,-79,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,,,-80,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,,-83,-82,-82,,-82,,,,,,-75,-75,-75,-75,-76,-75,-76,-75,-76,-76,,-89,,-89,,-89,,,,,,,,-59,-57,-57,-56,-56,-56,-57,-56,-57,-57,,-76,-76,-75,,-75,,,,
1714717772.6339421,-94,,,,,-75,-71,,,,,,,,,,-81,-81,,,,-81,-81,-81,-80,,,,,,,,,,,,,,,,,,,,,,-78,,,,,,-80,,,-78,-72,-71,-71,-71,-71,-71,-72,-71,-71,-71,,-84,-84,-85,,-84,,,,,,-75,-74,-74,-74,-74,-73,-74,-74,-74,-74,,-89,,-89,,-89,,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-64,,-77,-77,-77,,-77,,,,
1714717779.659481,,,,,,-75,-77,,,,,,,,,,-81,-81,,,-81,-81,-82,-81,-80,-81,,,,,,,,,,,,,,,,-86,,,,,-80,,,,,,,,-81,-81,-71,-71,-71,-70,-70,-71,-71,-70,-70,-70,,-85,-85,-86,,-85,,,,,,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,,,,,,-88,,,,,,,,-58,-58,-58,-58,-58,-59,-59,-58,-58,-58,,-75,-75,-75,,-75,,,,
1714717786.6775813,,,,,,-74,-72,,,,,,,,,,-80,-80,,,-80,-81,-80,,,-81,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,,,-77,-71,-71,-71,-71,-70,-70,-70,-71,-71,-70,,-88,-88,-89,,-88,,,,,,-74,,,-73,,,-86,-87,,,,,,,,,,,,,,,,-65,-65,-65,-65,-65,-65,-66,-65,-65,-65,,-78,-78,-78,,-78,-82,,,
1714717793.6956089,,,,,,-74,-72,,,,,,,,,,-80,-80,,,-80,-81,-80,,,-81,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,,,-77,-71,-71,-71,-71,-70,-70,-70,-71,-71,-70,,-88,-88,-89,,-88,,,,,,-74,,,-73,,,-86,-87,,,,,,,,,,,,,,,,-65,-65,-65,-65,-65,-65,-66,-65,-65,-65,,-78,-78,-78,,-78,-82,,,
1714717800.721206,-92,,,,,-74,-73,,,,,,,,,,-80,-79,-79,,,,-80,,-79,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-77,-73,-73,-73,-72,-73,-73,-73,-73,-73,-73,,-84,-85,-85,,-85,,,,,,-77,-74,-77,-77,-77,-77,-77,-74,-77,-77,,-88,-89,-89,,,,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-80,-80,-80,,-79,,,,
1714717807.7379076,,,,,-94,-87,-77,,,,,,,,,,-80,-79,-79,-80,-80,-80,-80,-80,-82,-79,,,,,,,,,,-84,,,,,,,,,,,-76,,,,,,,,-77,-77,-69,-69,-69,-69,-69,-69,-69,-70,-69,-69,,-81,-81,-81,,-81,,,,,,-76,-76,-76,,,-76,,-76,-76,-76,,,,,,,,,,,,-84,,-55,-55,-55,-56,-56,-55,-56,-56,-56,-56,-78,-78,-78,-77,-78,-77,,,,
