,ap_mac,ap_name
0,1c:1e:e3:94:17:f8,IFP_17f8
1,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9
2,32:3d:6b:ac:cc:58,Galaxy A04s F93A
3,94:d4:69:fa:94:40,eduroam
4,94:d4:69:fa:94:41,
5,94:d4:69:fa:94:42,START UP FOR KIDS
6,94:d4:69:fa:94:43,CD91
7,94:d4:69:fa:94:44,Guest-CentraleSupelec
8,94:d4:69:fa:94:45,
9,94:d4:69:fa:94:46,fabrique2024
10,94:d4:69:fa:94:47,
11,94:d4:69:fa:94:48,stop&go
12,94:d4:69:fa:94:49,TOSS2024
13,94:d4:69:fa:9a:00,eduroam
14,94:d4:69:fa:9a:01,
15,94:d4:69:fa:9a:02,START UP FOR KIDS
16,94:d4:69:fa:9a:03,CD91
17,94:d4:69:fa:9a:04,Guest-CentraleSupelec
18,94:d4:69:fa:9a:05,
19,94:d4:69:fa:9a:06,fabrique2024
20,94:d4:69:fa:9a:07,
21,94:d4:69:fa:9a:08,stop&go
22,94:d4:69:fa:9a:09,TOSS2024
23,94:d4:69:fa:9a:0b,Guest-CentraleSupelec
24,94:d4:69:fa:9a:0c,CD91
25,94:d4:69:fa:9a:0d,START UP FOR KIDS
26,94:d4:69:fa:9a:0f,eduroam
27,94:d4:69:fd:b1:00,eduroam
28,94:d4:69:fd:b1:01,
29,94:d4:69:fd:b1:02,START UP FOR KIDS
30,94:d4:69:fd:b1:03,CD91
31,94:d4:69:fd:b1:05,
32,94:d4:69:fd:b1:06,fabrique2024
33,94:d4:69:fd:b1:07,
34,94:d4:69:fd:b1:08,stop&go
35,94:d4:69:fd:b1:09,TOSS2024
36,94:d4:69:fd:b1:0c,CD91
37,94:d4:69:fd:b1:0d,START UP FOR KIDS
38,94:d4:69:fd:b1:0f,eduroam
39,94:d4:69:fd:b2:20,eduroam
40,94:d4:69:fd:b2:21,
41,94:d4:69:fd:b2:22,START UP FOR KIDS
42,94:d4:69:fd:b2:23,CD91
43,94:d4:69:fd:b2:24,Guest-CentraleSupelec
44,94:d4:69:fd:b2:25,
45,94:d4:69:fd:b2:26,fabrique2024
46,94:d4:69:fd:b2:27,
47,94:d4:69:fd:b2:28,stop&go
48,94:d4:69:fd:b2:29,TOSS2024
49,94:d4:69:fd:b2:2b,Guest-CentraleSupelec
50,94:d4:69:fd:b2:2c,CD91
51,94:d4:69:fd:b2:2d,START UP FOR KIDS
52,94:d4:69:fd:b2:2f,eduroam
53,94:d4:69:fd:b2:2e,
54,70:d3:79:39:de:27,
55,94:d4:69:f9:7d:c3,CD91
56,94:d4:69:f9:7d:c4,Guest-CentraleSupelec
57,94:d4:69:f9:7d:c5,
58,94:d4:69:f9:7d:c6,fabrique2024
59,94:d4:69:f9:7d:c7,
60,94:d4:69:fd:b1:04,Guest-CentraleSupelec
61,94:d4:69:fd:b2:2a,
62,b2:3e:26:00:d8:44,Bbox_60635799
63,70:d3:79:39:de:22,START UP FOR KIDS
64,94:d4:69:f6:b5:a0,eduroam
65,94:d4:69:f6:b5:a1,
66,94:d4:69:f9:7d:c0,eduroam
67,aa:6b:ad:45:e7:0d,DIRECT-0d-HP M203 LaserJet
68,10:be:f5:be:82:a8,
69,94:d4:69:f6:b5:a2,START UP FOR KIDS
70,94:d4:69:f6:b5:a3,CD91
71,94:d4:69:f9:7d:c1,
72,94:d4:69:f9:7d:c2,START UP FOR KIDS
73,94:d4:69:f9:7d:c8,stop&go
74,94:d4:69:f9:7d:c9,TOSS2024
75,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz
76,94:d4:69:f6:b5:a4,Guest-CentraleSupelec
77,94:d4:69:fd:ac:e6,fabrique2024
78,1c:1e:e3:db:04:b8,ES_8943
79,70:d3:79:39:6c:00,eduroam
80,70:d3:79:39:6c:01,
81,70:d3:79:39:6c:05,
82,70:d3:79:39:6c:06,fabrique2024
83,70:d3:79:39:6c:09,TOSS2024
84,70:d3:79:39:de:20,eduroam
85,70:d3:79:39:de:21,
86,70:d3:79:39:de:25,
87,70:d3:79:39:de:26,fabrique2024
88,94:d4:69:fd:ac:e2,START UP FOR KIDS
89,94:d4:69:fd:ac:e7,
90,70:d3:79:39:6c:03,CD91
91,70:d3:79:39:6c:07,
92,70:d3:79:39:6c:08,stop&go
93,94:d4:69:fa:9a:0a,
94,94:d4:69:fa:9a:0e,
95,94:d4:69:fd:b1:0b,Guest-CentraleSupelec
96,70:d3:79:39:de:28,stop&go
97,70:d3:79:39:6c:02,START UP FOR KIDS
98,70:d3:79:39:6c:04,Guest-CentraleSupelec
99,e8:cc:18:8d:3e:00,wifi amphi 120-3 5g
100,94:d4:69:fd:b1:0e,
101,94:d4:69:fd:b1:0a,
102,70:d3:79:39:de:23,CD91
103,70:d3:79:39:de:24,Guest-CentraleSupelec
104,70:d3:79:39:de:29,TOSS2024
105,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES
106,94:d4:69:f6:b5:a9,TOSS2024
107,e8:cc:18:8d:3e:10,wifi amphi 120-3
108,94:d4:69:f6:b5:a8,stop&go
109,94:d4:69:f6:b5:a6,fabrique2024
110,94:d4:69:f6:b5:a7,
