,ap_mac,ap_name
0,32:3d:6b:ac:cc:58,Galaxy A04s F93A
1,94:d4:69:fa:9a:03,CD91
2,94:d4:69:fa:9a:06,TOSS2024
3,94:d4:69:fa:9a:07,stop&go
4,94:d4:69:fa:9a:08,stop&go
5,94:d4:69:fa:9a:09,fabrique2024
6,94:d4:69:fa:9a:0b,Guest-CentraleSupelec
7,94:d4:69:fa:9a:0c,CD91
8,94:d4:69:fa:9a:0d,START UP FOR KIDS
9,94:d4:69:fa:9a:0f,eduroam
10,94:d4:69:fd:b1:06,fabrique2024
11,94:d4:69:fd:b1:09,TOSS2024
12,94:d4:69:fd:b2:20,eduroam
13,94:d4:69:fd:b2:21,
14,94:d4:69:fd:b2:22,START UP FOR KIDS
15,94:d4:69:fd:b2:23,CD91
16,94:d4:69:fd:b2:24,Guest-CentraleSupelec
17,94:d4:69:fd:b2:25,
18,94:d4:69:fd:b2:26,fabrique2024
19,94:d4:69:fd:b2:27,
20,94:d4:69:fd:b2:28,stop&go
21,94:d4:69:fd:b2:29,TOSS2024
22,94:d4:69:fd:b2:2b,Guest-CentraleSupelec
23,94:d4:69:fd:b2:2c,CD91
24,94:d4:69:fd:b2:2d,START UP FOR KIDS
25,94:d4:69:fd:b2:2f,eduroam
26,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES
27,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz
28,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9
29,94:d4:69:f9:7d:44,Guest-CentraleSupelec
30,94:d4:69:fa:94:46,fabrique2024
31,94:d4:69:fa:94:49,TOSS2024
32,94:d4:69:fa:9a:00,eduroam
33,94:d4:69:fa:9a:01,
34,94:d4:69:fa:9a:02,START UP FOR KIDS
35,94:d4:69:fa:9a:04,Guest-CentraleSupelec
36,94:d4:69:fa:9a:05,
37,94:d4:69:fd:b1:00,eduroam
38,94:d4:69:fd:b1:01,
39,94:d4:69:fd:b1:02,START UP FOR KIDS
40,94:d4:69:fd:b1:03,CD91
41,94:d4:69:fd:b1:04,Guest-CentraleSupelec
42,94:d4:69:fd:b1:05,
43,94:d4:69:fd:b1:07,
44,94:d4:69:fd:b1:0b,Guest-CentraleSupelec
45,94:d4:69:fa:94:44,Guest-CentraleSupelec
46,94:d4:69:fa:94:45,
47,94:d4:69:fa:94:48,stop&go
48,94:d4:69:fd:b1:08,stop&go
49,70:d3:79:39:de:28,stop&go
50,70:d3:79:39:de:29,TOSS2024
51,94:d4:69:fa:94:40,eduroam
52,94:d4:69:fa:94:41,
53,10:be:f5:be:82:a8,
54,94:d4:69:fa:9a:0a,
55,94:d4:69:fa:9a:0e,
56,b2:3e:26:00:d8:44,Bbox_60635799
