,ap_mac,ap_name,rssi,timestamp,room
80,94:d4:69:fd:b2:28,stop&go,-66,1714719286.203756,LC405
81,94:d4:69:fd:b2:29,TOSS2024,-65,1714719286.203756,LC405
82,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-78,1714719286.203756,LC405
83,94:d4:69:fd:b2:2c,CD91,-78,1714719286.203756,LC405
84,94:d4:69:fd:b2:2d,START UP FOR KIDS,-78,1714719286.203756,LC405
85,94:d4:69:fd:b2:2f,eduroam,-78,1714719286.203756,LC405
86,1c:1e:e3:94:17:f8,IFP_17f8,-73,1714719293.2210002,LC405
87,94:d4:69:fa:9a:00,eduroam,-72,1714719293.2210002,LC405
88,94:d4:69:fa:9a:01,,-71,1714719293.2210002,LC405
89,94:d4:69:fa:9a:02,START UP FOR KIDS,-72,1714719293.2210002,LC405
90,94:d4:69:fa:9a:03,CD91,-72,1714719293.2210002,LC405
91,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-72,1714719293.2210002,LC405
92,94:d4:69:fa:9a:05,,-72,1714719293.2210002,LC405
93,94:d4:69:fa:9a:06,fabrique2024,-72,1714719293.2210002,LC405
94,94:d4:69:fa:9a:07,stop&go,-83,1714719293.2210002,LC405
95,94:d4:69:fa:9a:08,stop&go,-71,1714719293.2210002,LC405
96,94:d4:69:fa:9a:09,fabrique2024,-83,1714719293.2210002,LC405
97,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-83,1714719293.2210002,LC405
98,94:d4:69:fa:9a:0c,CD91,-83,1714719293.2210002,LC405
99,94:d4:69:fa:9a:0d,START UP FOR KIDS,-83,1714719293.2210002,LC405
100,94:d4:69:fa:9a:0f,eduroam,-83,1714719293.2210002,LC405
101,94:d4:69:fd:b1:00,eduroam,-75,1714719293.2210002,LC405
102,94:d4:69:fd:b1:01,,-76,1714719293.2210002,LC405
103,94:d4:69:fd:b1:02,START UP FOR KIDS,-75,1714719293.2210002,LC405
104,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-75,1714719293.2210002,LC405
105,94:d4:69:fd:b1:05,,-75,1714719293.2210002,LC405
106,94:d4:69:fd:b1:06,fabrique2024,-76,1714719293.2210002,LC405
107,94:d4:69:fd:b1:07,,-76,1714719293.2210002,LC405
108,94:d4:69:fd:b1:08,stop&go,-75,1714719293.2210002,LC405
109,94:d4:69:fd:b1:09,TOSS2024,-75,1714719293.2210002,LC405
110,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-87,1714719293.2210002,LC405
111,94:d4:69:fd:b1:0c,CD91,-87,1714719293.2210002,LC405
112,94:d4:69:fd:b1:0d,START UP FOR KIDS,-86,1714719293.2210002,LC405
113,94:d4:69:fd:b1:0f,eduroam,-86,1714719293.2210002,LC405
114,94:d4:69:fd:b2:20,eduroam,-66,1714719293.2210002,LC405
115,94:d4:69:fd:b2:21,,-66,1714719293.2210002,LC405
116,94:d4:69:fd:b2:22,START UP FOR KIDS,-66,1714719293.2210002,LC405
117,94:d4:69:fd:b2:23,CD91,-66,1714719293.2210002,LC405
118,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-66,1714719293.2210002,LC405
119,94:d4:69:fd:b2:25,,-66,1714719293.2210002,LC405
120,94:d4:69:fd:b2:26,fabrique2024,-66,1714719293.2210002,LC405
121,94:d4:69:fd:b2:27,,-65,1714719293.2210002,LC405
122,94:d4:69:fd:b2:28,stop&go,-66,1714719293.2210002,LC405
123,94:d4:69:fd:b2:29,TOSS2024,-65,1714719293.2210002,LC405
