,ap_mac,ap_name,rssi,timestamp,room
80,aa:e8:7f:41:78:58,._.,-87,1712667171.078659,res3
81,b4:fb:e4:41:8f:35,ViaRezo MAC auth,-86,1712667171.078659,res3
82,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-95,1712667171.078659,res3
83,ba:fb:e4:41:8f:35,ViaRezo,-85,1712667171.078659,res3
84,ba:fb:e4:42:8f:35,ViaRezo,-94,1712667171.078659,res3
85,be:fb:e4:41:8f:35,,-84,1712667171.078659,res3
86,c2:fb:e4:41:8f:35,FedeRez,-84,1712667171.078659,res3
87,c2:fb:e4:42:8f:35,FedeRez,-96,1712667171.078659,res3
88,c6:fb:e4:41:8f:35,ViaRezo guest,-85,1712667171.078659,res3
89,c6:fb:e4:42:8f:35,ViaRezo guest,-95,1712667171.078659,res3
90,1c:61:b4:26:b1:61,TP-Link_B161,-92,1712667181.087568,res3
91,80:2a:a8:17:d6:08,ViaRezo MAC auth,-57,1712667181.087568,res3
92,80:2a:a8:17:d6:18,ViaRezo MAC auth,-90,1712667181.087568,res3
93,80:2a:a8:18:d6:08,ViaRezo MAC auth,-78,1712667181.087568,res3
94,80:2a:a8:18:d6:18,ViaRezo MAC auth,-91,1712667181.087568,res3
95,86:2a:a8:17:d6:08,ViaRezo,-58,1712667181.087568,res3
96,86:2a:a8:17:d6:18,ViaRezo,-93,1712667181.087568,res3
97,86:2a:a8:18:d6:08,ViaRezo,-78,1712667181.087568,res3
98,86:2a:a8:18:d6:18,ViaRezo,-90,1712667181.087568,res3
99,8a:2a:a8:17:d6:08,,-58,1712667181.087568,res3
100,8a:2a:a8:18:d6:08,,-76,1712667181.087568,res3
101,8a:2a:a8:18:d6:18,,-92,1712667181.087568,res3
102,8e:2a:a8:17:d6:08,FedeRez,-57,1712667181.087568,res3
103,8e:2a:a8:17:d6:18,FedeRez,-91,1712667181.087568,res3
104,8e:2a:a8:18:d6:08,FedeRez,-78,1712667181.087568,res3
105,8e:2a:a8:18:d6:18,FedeRez,-91,1712667181.087568,res3
106,92:2a:a8:17:d6:08,ViaRezo guest,-58,1712667181.087568,res3
107,92:2a:a8:17:d6:18,ViaRezo guest,-90,1712667181.087568,res3
108,92:2a:a8:18:d6:08,ViaRezo guest,-78,1712667181.087568,res3
109,92:2a:a8:18:d6:18,ViaRezo guest,-91,1712667181.087568,res3
110,aa:e8:7f:41:78:58,._.,-87,1712667181.087568,res3
111,b4:fb:e4:41:8f:35,ViaRezo MAC auth,-86,1712667181.087568,res3
112,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-95,1712667181.087568,res3
113,ba:fb:e4:41:8f:35,ViaRezo,-85,1712667181.087568,res3
114,ba:fb:e4:42:8f:35,ViaRezo,-94,1712667181.087568,res3
115,be:fb:e4:41:8f:35,,-84,1712667181.087568,res3
116,c2:fb:e4:41:8f:35,FedeRez,-84,1712667181.087568,res3
117,c2:fb:e4:42:8f:35,FedeRez,-96,1712667181.087568,res3
118,c6:fb:e4:41:8f:35,ViaRezo guest,-85,1712667181.087568,res3
119,c6:fb:e4:42:8f:35,ViaRezo guest,-95,1712667181.087568,res3
120,1c:61:b4:26:b1:61,TP-Link_B161,-92,1712667191.097214,res3
121,80:2a:a8:17:d6:08,ViaRezo MAC auth,-63,1712667191.097214,res3
122,80:2a:a8:17:d6:18,ViaRezo MAC auth,-82,1712667191.097214,res3
123,80:2a:a8:18:d6:08,ViaRezo MAC auth,-79,1712667191.097214,res3
124,80:2a:a8:18:d6:18,ViaRezo MAC auth,-91,1712667191.097214,res3
125,86:2a:a8:17:d6:08,ViaRezo,-64,1712667191.097214,res3
126,86:2a:a8:17:d6:18,ViaRezo,-80,1712667191.097214,res3
127,86:2a:a8:18:d6:08,ViaRezo,-79,1712667191.097214,res3
128,86:2a:a8:18:d6:18,ViaRezo,-90,1712667191.097214,res3
129,8a:2a:a8:17:d6:08,,-62,1712667191.097214,res3
