,ap_mac,ap_name
0,80:2a:a8:17:d6:08,ViaRezo MAC auth
1,80:2a:a8:17:d6:18,ViaRezo MAC auth
2,92:2a:a8:18:d6:08,ViaRezo guest
3,7e:6e:b0:6c:31:d8,Wifi do Ale
4,80:2a:a8:18:d6:08,ViaRezo MAC auth
5,86:2a:a8:17:d6:08,ViaRezo
6,8a:2a:a8:18:d6:08,
7,92:2a:a8:17:d6:08,ViaRezo guest
8,8e:2a:a8:17:d6:18,FedeRez
9,c2:fb:e4:42:8f:35,FedeRez
10,be:fb:e4:42:8f:35,
11,b4:fb:e4:42:8f:35,ViaRezo MAC auth
12,86:2a:a8:18:d6:08,ViaRezo
13,8e:2a:a8:18:d6:08,FedeRez
14,e6:0d:36:db:7b:99,K1 6060
15,c6:fb:e4:42:8f:35,ViaRezo guest
16,ba:fb:e4:42:8f:35,ViaRezo
