,ap_mac,ap_name,rssi,timestamp,room
0,7e:6e:b0:6c:31:d8,Wifi do Ale,-30,1713908209.7460568,res3test
1,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1713908209.7460568,res3test
2,80:2a:a8:18:d6:08,ViaRezo MAC auth,-73,1713908209.7460568,res3test
3,80:2a:a8:18:d6:18,ViaRezo MAC auth,-83,1713908209.7460568,res3test
4,86:2a:a8:17:d6:08,ViaRezo,-62,1713908209.7460568,res3test
5,86:2a:a8:18:d6:08,ViaRezo,-72,1713908209.7460568,res3test
6,8a:2a:a8:17:d6:08,,-65,1713908209.7460568,res3test
7,8e:2a:a8:18:d6:08,FedeRez,-73,1713908209.7460568,res3test
8,92:2a:a8:18:d6:08,ViaRezo guest,-72,1713908209.7460568,res3test
9,e6:0d:36:db:7b:99,K1 6060,-66,1713908209.7460568,res3test
10,7e:6e:b0:6c:31:d8,Wifi do Ale,-30,1713908210.7486296,res3test
11,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1713908210.7486296,res3test
12,80:2a:a8:18:d6:08,ViaRezo MAC auth,-73,1713908210.7486296,res3test
13,80:2a:a8:18:d6:18,ViaRezo MAC auth,-83,1713908210.7486296,res3test
14,86:2a:a8:17:d6:08,ViaRezo,-62,1713908210.7486296,res3test
15,86:2a:a8:18:d6:08,ViaRezo,-72,1713908210.7486296,res3test
16,8a:2a:a8:17:d6:08,,-65,1713908210.7486296,res3test
17,8e:2a:a8:18:d6:08,FedeRez,-73,1713908210.7486296,res3test
18,92:2a:a8:18:d6:08,ViaRezo guest,-72,1713908210.7486296,res3test
19,e6:0d:36:db:7b:99,K1 6060,-66,1713908210.7486296,res3test
20,7e:6e:b0:6c:31:d8,Wifi do Ale,-30,1713908211.7486522,res3test
21,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1713908211.7486522,res3test
22,80:2a:a8:18:d6:08,ViaRezo MAC auth,-73,1713908211.7486522,res3test
23,80:2a:a8:18:d6:18,ViaRezo MAC auth,-83,1713908211.7486522,res3test
24,86:2a:a8:17:d6:08,ViaRezo,-62,1713908211.7486522,res3test
25,86:2a:a8:18:d6:08,ViaRezo,-72,1713908211.7486522,res3test
26,8a:2a:a8:17:d6:08,,-65,1713908211.7486522,res3test
27,8e:2a:a8:18:d6:08,FedeRez,-73,1713908211.7486522,res3test
28,92:2a:a8:18:d6:08,ViaRezo guest,-72,1713908211.7486522,res3test
29,e6:0d:36:db:7b:99,K1 6060,-66,1713908211.7486522,res3test
30,7e:6e:b0:6c:31:d8,Wifi do Ale,-30,1713908212.748575,res3test
31,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1713908212.748575,res3test
32,80:2a:a8:18:d6:08,ViaRezo MAC auth,-73,1713908212.748575,res3test
33,80:2a:a8:18:d6:18,ViaRezo MAC auth,-83,1713908212.748575,res3test
34,86:2a:a8:17:d6:08,ViaRezo,-62,1713908212.748575,res3test
35,86:2a:a8:18:d6:08,ViaRezo,-72,1713908212.748575,res3test
36,8a:2a:a8:17:d6:08,,-65,1713908212.748575,res3test
37,8e:2a:a8:18:d6:08,FedeRez,-73,1713908212.748575,res3test
38,92:2a:a8:18:d6:08,ViaRezo guest,-72,1713908212.748575,res3test
39,e6:0d:36:db:7b:99,K1 6060,-66,1713908212.748575,res3test
40,7e:6e:b0:6c:31:d8,Wifi do Ale,-30,1713908213.7485797,res3test
41,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1713908213.7485797,res3test
42,80:2a:a8:17:d6:18,ViaRezo MAC auth,-71,1713908213.7485797,res3test
43,80:2a:a8:18:d6:08,ViaRezo MAC auth,-73,1713908213.7485797,res3test
44,80:2a:a8:18:d6:18,ViaRezo MAC auth,-82,1713908213.7485797,res3test
45,86:2a:a8:17:d6:08,ViaRezo,-64,1713908213.7485797,res3test
46,86:2a:a8:18:d6:08,ViaRezo,-72,1713908213.7485797,res3test
47,86:2a:a8:18:d6:18,ViaRezo,-81,1713908213.7485797,res3test
48,8a:2a:a8:17:d6:08,,-65,1713908213.7485797,res3test
49,8a:2a:a8:18:d6:18,,-82,1713908213.7485797,res3test
50,8e:2a:a8:18:d6:08,FedeRez,-73,1713908213.7485797,res3test
51,8e:2a:a8:18:d6:18,FedeRez,-82,1713908213.7485797,res3test
52,92:2a:a8:17:d6:08,ViaRezo guest,-65,1713908213.7485797,res3test
53,92:2a:a8:18:d6:08,ViaRezo guest,-73,1713908213.7485797,res3test
54,92:2a:a8:18:d6:18,ViaRezo guest,-82,1713908213.7485797,res3test
55,e6:0d:36:db:7b:99,K1 6060,-64,1713908213.7485797,res3test
