timestamp,7e:6e:b0:6c:31:d8,80:2a:a8:17:d6:08,80:2a:a8:18:d6:08,80:2a:a8:18:d6:18,86:2a:a8:17:d6:08,86:2a:a8:18:d6:08,86:2a:a8:18:d6:18,8a:2a:a8:17:d6:08,8a:2a:a8:18:d6:08,8a:2a:a8:18:d6:18,8e:2a:a8:17:d6:08,8e:2a:a8:18:d6:08,8e:2a:a8:18:d6:18,92:2a:a8:17:d6:08,92:2a:a8:18:d6:08,92:2a:a8:18:d6:18,ae:34:24:ab:0e:83,b4:fb:e4:41:8f:35,b4:fb:e4:42:8f:35,ba:fb:e4:42:8f:35,be:fb:e4:42:8f:35,c2:fb:e4:42:8f:35,c6:fb:e4:41:8f:35,c6:fb:e4:42:8f:35
1712700243.5921772,-25,-64,-66,-76,-65,-67,-76,-67,-68,-76,-66,-67,-76,-66,-67,-76,-56,,-84,-85,-85,-86,,-86
1712700248.5964963,-26,-65,-66,-76,-65,-67,-76,-67,-68,-76,-65,-67,-76,-65,-67,-76,-56,-81,-84,-85,-85,-86,-79,-86
