timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,32:3d:6b:ac:cc:58,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:08,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a0,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a7,94:d4:69:f6:b5:a8,94:d4:69:f6:b5:a9,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e2,94:d4:69:fd:ac:e6,94:d4:69:fd:ac:e7,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714718540.9897728,,,-57,,,-71,-77,-83,,,-83,,,-84,-83,-83,-83,,,,,,,,,,,,,,,,,,,,,,,,,-82,-83,,,,,,,,,,,,-81,-79,-76,-75,-76,-76,,-76,-83,-82,-83,-83,-83,-83,-82,-83,-83,-83,,,,-72,-72,-72,-73,-72,-72,-73,-72,-72,-72,,-89,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-76,-76,-76,,-76,-84,,,
1714718547.992241,,,-67,,,-76,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,,,,,-80,-81,-75,-75,-75,-75,-76,-75,-75,-75,-75,-76,-84,-84,-84,-84,-84,-84,,,,-75,,-75,-75,-74,-75,-74,-74,-75,-75,,,,,,,-55,-55,-55,-55,-55,-55,-55,-73,-55,-55,,-74,-74,-74,,-74,-88,,,
1714718554.9976635,,,-54,,,-73,-81,,-81,,,,,,,,,-81,,,,,,-82,-82,-81,,,,,,,,,,,,,,,,,,,,,,,-81,,,,,,-80,-81,-75,-75,-75,-75,-76,-75,-75,-75,-75,-76,-84,-86,-86,-86,-84,-86,,,,-73,-73,-73,-73,-73,-75,-73,-74,-73,-73,,,,-87,,,-58,-58,-58,-58,-59,-60,-59,-73,-59,-58,,-73,-73,-74,,-74,-88,,,
1714718562.0030384,,-91,-54,,,-73,-81,,-81,,,,,,,,,-81,,,,,,-82,-82,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,-85,,-86,,-86,-86,-86,,-86,,,,-73,-73,-73,-73,-73,,-73,-87,-73,-73,,-88,-88,-87,,-88,-58,-58,-58,-58,-59,-60,-59,-73,-59,-58,,-73,-73,-74,,-74,,-87,,
1714718569.0086856,,,-61,,,-80,-77,-82,-83,-83,-82,-82,,,,,-83,-82,-82,-81,,,-83,-83,,,,,,,,,,,,,,,,,,,,,,,-84,,,,,,,,,,-75,-76,-76,-76,-76,-76,-89,-88,-75,-89,,-89,-88,-88,,-89,,,,-77,-77,-77,-77,-71,-77,-70,-77,-72,-71,,,,,,,-68,-67,-67,-67,-67,-67,-67,-67,-67,-67,,-81,-81,-82,,-81,,-89,-93,
1714718576.0117338,,,-70,,,-81,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-75,-76,-75,-76,-75,-89,-90,-75,-76,,-89,-90,-90,,-90,,,,-73,-73,-73,-73,-73,-73,-73,-73,-73,-72,,,,,,,-64,-64,-64,-64,-65,-64,-64,-80,-65,-64,,-80,-80,-80,,-79,,,,
1714718583.017066,,,-59,,,-79,-74,-83,,,-83,,,,,,,-84,-84,-84,,,-84,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,-75,-75,-75,-75,-76,-76,-85,-85,-76,-75,,-85,-85,-85,,-85,,,,-73,-73,-73,-73,-72,-73,-73,-73,-73,-73,,,-86,-86,-85,-85,-66,-66,-66,-66,-66,-66,-66,-78,-66,-66,,-78,-78,-78,,-78,,,,
1714718590.0226898,,,-69,,-94,-79,-76,-83,,,-83,,,,,,,-84,-84,-84,,,-84,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,-75,-75,-75,-75,-76,-76,-86,-86,-76,-75,,-86,-86,-87,,-86,,,,-73,-73,-73,-73,-72,,-73,-73,-73,-73,,,-86,-86,-85,-85,-65,-65,-65,-65,-65,-65,-65,-83,-65,-65,,-82,-82,-81,,-82,,,,
1714718597.9846632,,-92,-62,,,-81,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-85,-85,-85,-85,-85,-85,,,,-72,-72,,-72,-72,-72,-72,-71,-72,-72,-89,,-90,,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,,-81,-80,-81,,-81,,,,
1714718604.032464,,-92,-72,,,-84,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-85,-84,-84,-85,-85,-85,,,,-76,-77,-76,-77,-77,-77,-76,-77,-72,-77,-89,,-90,,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,,-80,-80,-80,,-80,,,,
1714718611.037804,,,-61,,-95,-78,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-77,-77,-76,-76,-76,-87,-86,-76,-76,,-86,-87,-86,,-87,,,,-75,-75,-75,-75,-75,-75,-75,-75,-76,-75,,-88,,,,,-65,-65,-65,-65,-65,-65,-81,-81,-65,-81,,-81,-81,-81,,-81,,,,
1714718618.041685,,,-72,,-95,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-76,-76,-86,-76,-76,,-86,-86,-86,,-86,,,,-75,-75,-75,-75,-74,-74,-74,-74,-75,-75,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,,-80,-80,-80,,-80,,,,
1714718625.0467227,,,-59,,-95,-77,-84,,,,,,,,,,,-83,,-85,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-76,-76,-76,-76,-77,-77,-88,-76,-76,,-88,-88,-88,,-88,,,,-74,-75,-73,-73,-74,-73,-74,-73,-73,-74,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,,-81,-80,-81,,-80,,-87,,
1714718632.0488489,,,-59,,,-77,-84,,,,,,,,,,,-83,,-85,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,,,,-77,-77,-88,-76,-76,,-88,-88,-88,,-88,,,,-74,,-73,-73,-74,-73,-74,-73,-73,-74,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-66,-66,,-81,-80,-81,,-80,,-87,,
