,ap_mac,ap_name,rssi,timestamp,room
75,94:d4:69:fd:b1:02,START UP FOR KIDS,-74,1714717361.8604252,LC405test
76,94:d4:69:fd:b1:03,CD91,-74,1714717361.8604252,LC405test
77,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-74,1714717361.8604252,LC405test
78,94:d4:69:fd:b1:05,,-74,1714717361.8604252,LC405test
79,94:d4:69:fd:b1:06,fabrique2024,-74,1714717361.8604252,LC405test
80,94:d4:69:fd:b1:07,,-74,1714717361.8604252,LC405test
81,94:d4:69:fd:b1:08,stop&go,-74,1714717361.8604252,LC405test
82,94:d4:69:fd:b1:09,TOSS2024,-74,1714717361.8604252,LC405test
83,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-85,1714717361.8604252,LC405test
84,94:d4:69:fd:b1:0c,CD91,-86,1714717361.8604252,LC405test
85,94:d4:69:fd:b1:0d,START UP FOR KIDS,-86,1714717361.8604252,LC405test
86,94:d4:69:fd:b1:0f,eduroam,-91,1714717361.8604252,LC405test
87,94:d4:69:fd:b2:20,eduroam,-65,1714717361.8604252,LC405test
88,94:d4:69:fd:b2:21,,-65,1714717361.8604252,LC405test
89,94:d4:69:fd:b2:22,START UP FOR KIDS,-65,1714717361.8604252,LC405test
90,94:d4:69:fd:b2:23,CD91,-65,1714717361.8604252,LC405test
91,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-65,1714717361.8604252,LC405test
92,94:d4:69:fd:b2:25,,-65,1714717361.8604252,LC405test
93,94:d4:69:fd:b2:26,fabrique2024,-65,1714717361.8604252,LC405test
94,94:d4:69:fd:b2:27,,-65,1714717361.8604252,LC405test
95,94:d4:69:fd:b2:28,stop&go,-65,1714717361.8604252,LC405test
96,94:d4:69:fd:b2:29,TOSS2024,-65,1714717361.8604252,LC405test
97,94:d4:69:fd:b2:2a,,-75,1714717361.8604252,LC405test
98,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-76,1714717361.8604252,LC405test
99,94:d4:69:fd:b2:2c,CD91,-76,1714717361.8604252,LC405test
100,94:d4:69:fd:b2:2d,START UP FOR KIDS,-76,1714717361.8604252,LC405test
101,94:d4:69:fd:b2:2e,,-75,1714717361.8604252,LC405test
102,94:d4:69:fd:b2:2f,eduroam,-76,1714717361.8604252,LC405test
103,b2:3e:26:00:d8:44,Bbox_60635799,-91,1714717361.8604252,LC405test
104,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz,-93,1714717368.8638458,LC405test
105,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9,-74,1714717368.8638458,LC405test
106,32:3d:6b:ac:cc:58,Galaxy A04s F93A,-79,1714717368.8638458,LC405test
107,70:d3:79:39:de:20,eduroam,-81,1714717368.8638458,LC405test
108,70:d3:79:39:de:23,CD91,-84,1714717368.8638458,LC405test
109,70:d3:79:39:de:24,Guest-CentraleSupelec,-81,1714717368.8638458,LC405test
110,94:d4:69:f9:7d:c0,eduroam,-84,1714717368.8638458,LC405test
111,94:d4:69:fa:9a:00,eduroam,-69,1714717368.8638458,LC405test
112,94:d4:69:fa:9a:01,,-69,1714717368.8638458,LC405test
113,94:d4:69:fa:9a:02,START UP FOR KIDS,-76,1714717368.8638458,LC405test
114,94:d4:69:fa:9a:03,CD91,-76,1714717368.8638458,LC405test
115,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-76,1714717368.8638458,LC405test
116,94:d4:69:fa:9a:05,,-69,1714717368.8638458,LC405test
117,94:d4:69:fa:9a:06,fabrique2024,-77,1714717368.8638458,LC405test
118,94:d4:69:fa:9a:07,,-75,1714717368.8638458,LC405test
119,94:d4:69:fa:9a:08,stop&go,-76,1714717368.8638458,LC405test
120,94:d4:69:fa:9a:09,TOSS2024,-76,1714717368.8638458,LC405test
121,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-82,1714717368.8638458,LC405test
122,94:d4:69:fa:9a:0c,CD91,-83,1714717368.8638458,LC405test
123,94:d4:69:fa:9a:0d,START UP FOR KIDS,-83,1714717368.8638458,LC405test
124,94:d4:69:fa:9a:0f,eduroam,-83,1714717368.8638458,LC405test
125,94:d4:69:fd:b1:00,eduroam,-77,1714717368.8638458,LC405test
126,94:d4:69:fd:b1:01,,-77,1714717368.8638458,LC405test
127,94:d4:69:fd:b1:02,START UP FOR KIDS,-77,1714717368.8638458,LC405test
128,94:d4:69:fd:b1:03,CD91,-77,1714717368.8638458,LC405test
129,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-77,1714717368.8638458,LC405test
130,94:d4:69:fd:b1:05,,-77,1714717368.8638458,LC405test
131,94:d4:69:fd:b1:06,fabrique2024,-77,1714717368.8638458,LC405test
132,94:d4:69:fd:b1:07,,-77,1714717368.8638458,LC405test
133,94:d4:69:fd:b1:08,stop&go,-77,1714717368.8638458,LC405test
