,ap_mac,ap_name
0,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES
1,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9
2,32:3d:6b:ac:cc:58,Galaxy A04s F93A
3,70:d3:79:39:6c:00,eduroam
4,70:d3:79:39:6c:07,
5,70:d3:79:39:de:20,eduroam
6,70:d3:79:39:de:21,
7,70:d3:79:39:de:22,START UP FOR KIDS
8,70:d3:79:39:de:26,fabrique2024
9,70:d3:79:39:de:27,
10,70:d3:79:39:de:28,stop&go
11,70:d3:79:39:de:29,TOSS2024
12,94:d4:69:fa:94:48,stop&go
13,94:d4:69:fa:94:49,TOSS2024
14,94:d4:69:fa:9a:00,eduroam
15,94:d4:69:fa:9a:01,
16,94:d4:69:fa:9a:03,CD91
17,94:d4:69:fa:9a:04,Guest-CentraleSupelec
18,94:d4:69:fa:9a:05,
19,94:d4:69:fa:9a:06,fabrique2024
20,94:d4:69:fa:9a:07,
21,94:d4:69:fa:9a:08,stop&go
22,94:d4:69:fa:9a:09,TOSS2024
23,94:d4:69:fa:9a:0a,
24,94:d4:69:fa:9a:0b,Guest-CentraleSupelec
25,94:d4:69:fa:9a:0c,CD91
26,94:d4:69:fa:9a:0d,START UP FOR KIDS
27,94:d4:69:fa:9a:0e,
28,94:d4:69:fa:9a:0f,eduroam
29,94:d4:69:fd:b1:00,eduroam
30,94:d4:69:fd:b1:01,
31,94:d4:69:fd:b1:02,START UP FOR KIDS
32,94:d4:69:fd:b1:03,CD91
33,94:d4:69:fd:b1:04,Guest-CentraleSupelec
34,94:d4:69:fd:b1:05,
35,94:d4:69:fd:b1:06,fabrique2024
36,94:d4:69:fd:b1:07,
37,94:d4:69:fd:b1:08,stop&go
38,94:d4:69:fd:b1:09,TOSS2024
39,94:d4:69:fd:b2:20,eduroam
40,94:d4:69:fd:b2:21,
41,94:d4:69:fd:b2:22,START UP FOR KIDS
42,94:d4:69:fd:b2:23,CD91
43,94:d4:69:fd:b2:24,Guest-CentraleSupelec
44,94:d4:69:fd:b2:26,fabrique2024
45,94:d4:69:fd:b2:27,stop&go
46,94:d4:69:fd:b2:28,stop&go
47,94:d4:69:fd:b2:29,TOSS2024
48,94:d4:69:fd:b2:2b,Guest-CentraleSupelec
49,94:d4:69:fd:b2:2c,CD91
50,94:d4:69:fd:b2:2d,START UP FOR KIDS
51,94:d4:69:fd:b2:2f,eduroam
52,94:d4:69:fa:94:40,eduroam
53,94:d4:69:fd:b2:25,
54,70:d3:79:39:6c:01,
55,70:d3:79:39:de:23,CD91
56,70:d3:79:39:de:25,
57,94:d4:69:fa:9a:02,START UP FOR KIDS
58,94:d4:69:fd:b1:0d,START UP FOR KIDS
59,94:d4:69:fd:b1:0b,Guest-CentraleSupelec
60,94:d4:69:fd:b1:0f,eduroam
61,aa:6b:ad:45:e7:0d,DIRECT-0d-HP M203 LaserJet
