,ap_mac,ap_name
62,94:d4:69:fa:94:41,
63,94:d4:69:fa:94:42,START UP FOR KIDS
64,94:d4:69:fa:94:43,CD91
65,94:d4:69:fa:94:45,
66,94:d4:69:fa:94:46,fabrique2024
67,94:d4:69:fa:94:47,
68,70:d3:79:39:de:24,Guest-CentraleSupelec
69,94:d4:69:fa:94:44,Guest-CentraleSupelec
70,94:d4:69:fd:b1:0c,CD91
71,94:d4:69:f9:7d:c5,
72,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz
73,94:d4:69:f7:98:e9,TOSS2024
74,94:d4:69:fd:b1:e7,
75,94:d4:69:fd:b2:2a,
76,94:d4:69:fd:b2:2e,
77,10:be:f5:be:82:a8,
78,70:d3:79:39:6c:02,START UP FOR KIDS
79,e8:cc:18:8d:3e:00,wifi amphi 120-3 5g
80,70:d3:79:39:6c:03,CD91
81,94:d4:69:fd:b1:e6,fabrique2024
82,94:d4:69:fd:b1:e5,
83,1c:1e:e3:db:04:b8,ES_8943
84,b2:3e:26:00:d8:44,Bbox_60635799
85,94:d4:69:f9:7d:c7,
86,94:d4:69:fd:b1:e9,TOSS2024
87,94:d4:69:fd:b1:0a,
88,94:d4:69:fd:b1:0e,
89,94:d4:69:f9:7d:c4,Guest-CentraleSupelec
90,94:d4:69:f9:7d:c6,fabrique2024
91,94:d4:69:f9:7d:c0,eduroam
92,94:d4:69:f9:7d:c8,stop&go
93,94:d4:69:f6:b5:a0,eduroam
94,94:d4:69:f6:b5:a1,
95,94:d4:69:f6:b5:a3,CD91
96,94:d4:69:f6:b5:a4,Guest-CentraleSupelec
97,94:d4:69:f6:b5:a7,
98,94:d4:69:f6:b5:a8,stop&go
99,10:be:f5:be:83:c0,
100,94:d4:69:f9:7d:c3,CD91
101,94:d4:69:f9:7d:c9,TOSS2024
102,94:d4:69:fd:b1:e3,CD91
103,94:d4:69:fd:b1:e4,Guest-CentraleSupelec
104,94:d4:69:f9:7d:c1,
105,94:d4:69:f9:7d:c2,START UP FOR KIDS
106,94:d4:69:fd:b1:e0,eduroam
107,94:d4:69:f6:b5:a5,
108,70:d3:79:39:6c:09,TOSS2024
109,70:d3:79:39:6c:05,
110,70:d3:79:39:6c:06,fabrique2024
111,70:d3:79:39:6c:04,Guest-CentraleSupelec
112,94:d4:69:f6:b5:a2,START UP FOR KIDS
113,94:d4:69:f6:b5:a6,fabrique2024
114,94:d4:69:fd:ac:e6,fabrique2024
115,94:d4:69:fd:ac:e7,
116,e8:cc:18:8d:3e:10,wifi amphi 120-3
117,94:d4:69:fd:ac:e8,stop&go
118,94:d4:69:fd:ac:e5,
119,94:d4:69:fd:ac:e9,TOSS2024
