timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,10:be:f5:be:83:c0,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:08,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a5,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a8,94:d4:69:f7:98:e0,94:d4:69:f7:98:e1,94:d4:69:f7:98:e2,94:d4:69:f7:98:e3,94:d4:69:f7:98:e5,94:d4:69:f7:98:e6,94:d4:69:f7:98:e7,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e5,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b1:e0,94:d4:69:fd:b1:e1,94:d4:69:fd:b1:e2,94:d4:69:fd:b1:e3,94:d4:69:fd:b1:e4,94:d4:69:fd:b1:e5,94:d4:69:fd:b1:e9,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,ba:5a:e1:12:88:a3,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714719419.5929205,,,-92,-63,,,-78,,,,,,,,,,,-82,-82,-81,-81,-81,-81,-82,-82,-81,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,,,,,-81,-74,-74,-73,-74,-74,-74,-74,-74,-74,-85,,-85,-86,-85,,-85,,-77,-77,-78,-78,-77,-77,-77,-77,-77,-77,,,,,,,,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-76,-76,-76,,-76,,-88,,-94,
1714719426.6131608,,,,-72,,,-80,,,,,,,,,,,-80,-81,-80,-80,-80,-80,-80,-80,-80,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-84,-84,,,-75,-76,-76,,-76,,-83,-76,-76,-83,,-83,-83,-82,,-83,,-75,,,,,,-88,-88,-88,-89,-88,-88,-88,-89,-89,-88,,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,
1714719433.6240997,,,,-72,,,-80,,,,,,,,,,,-80,-81,-80,-80,-80,-80,-80,-80,-80,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-84,-84,,,-75,-76,-76,,-76,,-83,-76,-76,-83,,-83,-83,-82,,-83,,-75,,,,,,-88,-88,-88,-89,-88,-88,-88,-89,-89,-88,,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,
1714719440.6387131,,,,-75,,,,,,,-82,-82,,,,,,-81,-81,-81,-81,-81,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,-79,-79,-78,-74,-75,-75,-75,-75,-75,-84,-75,-75,-84,,-84,-84,-84,,-84,,-75,-75,,-76,,-76,-76,-88,-76,-87,,-89,,-88,,,,,,,,,,-63,-62,-63,-63,-63,-63,-63,-63,-63,-62,,-76,-76,-76,,-76,,,,,
1714719447.660884,,,,-62,,-92,-80,,-83,-81,,,-83,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-78,-79,-78,-74,-73,-74,,,,-85,-85,-74,-74,,-85,-85,-84,,-85,,-78,-77,-77,-77,-77,-77,-77,-77,,,,-89,-89,,,-89,,,,,,,,-62,-62,-62,-62,-61,-61,-61,-62,-62,-62,,-75,-75,-75,,-76,,,,,
1714719454.6848402,,,,-74,,-92,-80,,-82,-81,,,-83,,,-83,,-80,,-80,-80,,,-80,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-85,-79,-78,-75,-75,-75,-75,,-75,-84,-84,-75,-75,,-84,-84,-83,,-84,,-78,-77,-77,-74,-74,-74,-74,-74,-74,-73,,-88,-87,,,-88,,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-79,-79,-79,,-79,,,,,
1714719461.7115526,,,,-65,,,,-82,-82,-81,-81,,,-82,,,,-80,-81,-80,-80,,-81,-80,-81,-80,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,-74,-74,-74,-74,,-74,-85,-85,-74,-75,,-85,-85,-85,,-85,,,,,-74,-77,-77,-77,-76,-76,-76,,-88,-87,-88,,-88,,,,,,,,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,,-75,-75,-75,,-75,,,,,
1714719469.6873183,,,,-75,,,,-83,-82,,,,,,,-82,-81,-82,-81,,,-82,-81,-81,-81,-80,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,-84,-76,-76,,-84,-84,-84,,-84,,,,,-73,,,-74,-89,-74,-74,,-89,-89,-89,,,,,,,,,,-63,-63,-63,-63,-63,,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,
1714719475.7493658,,,,-65,,,-78,-83,-82,,,,,,,-82,-81,-82,-82,,,-82,-81,-82,-82,-81,-80,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,,-79,-79,-79,-79,-79,,,-74,-75,,,-86,-85,-74,-76,-86,-85,-85,-85,-85,-86,,-78,,-77,-73,,,-77,-89,-78,-77,,-89,-89,-88,,,,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-77,-77,-77,,-77,,,,,
1714719482.7730076,,,,-75,,,-83,,,,,,,,,,,-80,-80,-81,-80,-80,-81,-79,-82,-80,-81,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,,-79,-79,-79,-79,-79,-74,,-73,-73,-73,-73,-82,-82,-74,-82,-86,-83,-82,-83,-85,-83,,-78,,-77,,,,-77,,-78,-77,,,-88,-88,,,,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-77,-77,-77,,-77,,-94,,,
