,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,6.903600692749023,Q,0,1
1,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-63,6.903600692749023,Q,0,1
2,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-69,6.903600692749023,Q,0,1
3,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-83,6.903600692749023,Q,0,1
4,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-81,6.903600692749023,Q,0,1
5,8c:44:4f:47:29:07,O Albergue' Hostel,-80,6.903600692749023,Q,0,1
6,8e:44:4f:47:2a:08,#CLARO-WIFI,-87,6.903600692749023,Q,0,1
7,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,6.903600692749023,Q,0,1
8,d8:07:b6:8a:c7:03,PaxTecum-5G,-51,6.903600692749023,Q,0,1
9,d8:07:b6:8a:c7:04,PaxTecum,-41,6.903600692749023,Q,0,1
10,d8:c6:78:70:41:30,Casa 104,-81,6.903600692749023,Q,0,1
11,de:07:b6:8a:c7:04,,-43,6.903600692749023,Q,0,1
12,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-86,6.903600692749023,Q,0,1
13,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,6.903600692749023,Q,0,1
14,e8:45:8b:79:51:58,FIFALAU,-87,6.903600692749023,Q,0,1
15,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-60,6.903600692749023,Q,0,1
16,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,8.911406755447388,Q,0,1
17,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,8.911406755447388,Q,0,1
18,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,8.911406755447388,Q,0,1
19,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,8.911406755447388,Q,0,1
20,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,8.911406755447388,Q,0,1
21,8c:44:4f:47:29:07,O Albergue' Hostel,-80,8.911406755447388,Q,0,1
22,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,8.911406755447388,Q,0,1
23,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,8.911406755447388,Q,0,1
24,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,8.911406755447388,Q,0,1
25,d8:07:b6:8a:c7:04,PaxTecum,-39,8.911406755447388,Q,0,1
26,d8:c6:78:70:41:30,Casa 104,-87,8.911406755447388,Q,0,1
27,de:07:b6:8a:c7:04,,-43,8.911406755447388,Q,0,1
28,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,8.911406755447388,Q,0,1
29,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,8.911406755447388,Q,0,1
30,e8:45:8b:79:51:58,FIFALAU,-88,8.911406755447388,Q,0,1
31,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,8.911406755447388,Q,0,1
32,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,10.919546127319336,Q,0,1
33,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,10.919546127319336,Q,0,1
34,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,10.919546127319336,Q,0,1
35,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,10.919546127319336,Q,0,1
36,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,10.919546127319336,Q,0,1
37,8c:44:4f:47:29:07,O Albergue' Hostel,-80,10.919546127319336,Q,0,1
38,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,10.919546127319336,Q,0,1
39,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,10.919546127319336,Q,0,1
40,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,10.919546127319336,Q,0,1
41,d8:07:b6:8a:c7:04,PaxTecum,-39,10.919546127319336,Q,0,1
42,d8:c6:78:70:41:30,Casa 104,-87,10.919546127319336,Q,0,1
43,de:07:b6:8a:c7:04,,-43,10.919546127319336,Q,0,1
44,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,10.919546127319336,Q,0,1
45,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,10.919546127319336,Q,0,1
46,e8:45:8b:79:51:58,FIFALAU,-88,10.919546127319336,Q,0,1
47,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,10.919546127319336,Q,0,1
48,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,12.928152322769165,Q,0,1
49,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,12.928152322769165,Q,0,1
50,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,12.928152322769165,Q,0,1
51,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,12.928152322769165,Q,0,1
52,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,12.928152322769165,Q,0,1
53,8c:44:4f:47:29:07,O Albergue' Hostel,-80,12.928152322769165,Q,0,1
54,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,12.928152322769165,Q,0,1
55,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,12.928152322769165,Q,0,1
56,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,12.928152322769165,Q,0,1
57,d8:07:b6:8a:c7:04,PaxTecum,-39,12.928152322769165,Q,0,1
58,d8:c6:78:70:41:30,Casa 104,-87,12.928152322769165,Q,0,1
59,de:07:b6:8a:c7:04,,-43,12.928152322769165,Q,0,1
60,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,12.928152322769165,Q,0,1
61,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,12.928152322769165,Q,0,1
62,e8:45:8b:79:51:58,FIFALAU,-88,12.928152322769165,Q,0,1
63,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,12.928152322769165,Q,0,1
64,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,14.939861536026001,Q,0,1
65,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,14.939861536026001,Q,0,1
66,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,14.939861536026001,Q,0,1
67,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,14.939861536026001,Q,0,1
68,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,14.939861536026001,Q,0,1
69,8c:44:4f:47:29:07,O Albergue' Hostel,-80,14.939861536026001,Q,0,1
70,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,14.939861536026001,Q,0,1
71,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,14.939861536026001,Q,0,1
72,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,14.939861536026001,Q,0,1
73,d8:07:b6:8a:c7:04,PaxTecum,-39,14.939861536026001,Q,0,1
74,d8:c6:78:70:41:30,Casa 104,-87,14.939861536026001,Q,0,1
75,de:07:b6:8a:c7:04,,-43,14.939861536026001,Q,0,1
76,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,14.939861536026001,Q,0,1
77,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,14.939861536026001,Q,0,1
78,e8:45:8b:79:51:58,FIFALAU,-88,14.939861536026001,Q,0,1
79,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,14.939861536026001,Q,0,1
80,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,16.949147701263428,Q,0,1
81,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,16.949147701263428,Q,0,1
82,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,16.949147701263428,Q,0,1
83,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,16.949147701263428,Q,0,1
84,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,16.949147701263428,Q,0,1
85,8c:44:4f:47:29:07,O Albergue' Hostel,-80,16.949147701263428,Q,0,1
86,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,16.949147701263428,Q,0,1
87,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,16.949147701263428,Q,0,1
88,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,16.949147701263428,Q,0,1
89,d8:07:b6:8a:c7:04,PaxTecum,-39,16.949147701263428,Q,0,1
90,d8:c6:78:70:41:30,Casa 104,-87,16.949147701263428,Q,0,1
91,de:07:b6:8a:c7:04,,-43,16.949147701263428,Q,0,1
92,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,16.949147701263428,Q,0,1
93,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,16.949147701263428,Q,0,1
94,e8:45:8b:79:51:58,FIFALAU,-88,16.949147701263428,Q,0,1
95,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,16.949147701263428,Q,0,1
96,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,18.95938467979431,Q,0,1
97,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,18.95938467979431,Q,0,1
98,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,18.95938467979431,Q,0,1
99,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,18.95938467979431,Q,0,1
100,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,18.95938467979431,Q,0,1
101,8c:44:4f:47:29:07,O Albergue' Hostel,-80,18.95938467979431,Q,0,1
102,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,18.95938467979431,Q,0,1
103,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,18.95938467979431,Q,0,1
104,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,18.95938467979431,Q,0,1
105,d8:07:b6:8a:c7:04,PaxTecum,-39,18.95938467979431,Q,0,1
106,d8:c6:78:70:41:30,Casa 104,-87,18.95938467979431,Q,0,1
107,de:07:b6:8a:c7:04,,-43,18.95938467979431,Q,0,1
108,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,18.95938467979431,Q,0,1
109,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,18.95938467979431,Q,0,1
110,e8:45:8b:79:51:58,FIFALAU,-88,18.95938467979431,Q,0,1
111,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,18.95938467979431,Q,0,1
112,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,20.967743158340454,Q,0,1
113,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,20.967743158340454,Q,0,1
114,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,20.967743158340454,Q,0,1
115,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,20.967743158340454,Q,0,1
116,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,20.967743158340454,Q,0,1
117,8c:44:4f:47:29:07,O Albergue' Hostel,-80,20.967743158340454,Q,0,1
118,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,20.967743158340454,Q,0,1
119,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,20.967743158340454,Q,0,1
120,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,20.967743158340454,Q,0,1
121,d8:07:b6:8a:c7:04,PaxTecum,-39,20.967743158340454,Q,0,1
122,d8:c6:78:70:41:30,Casa 104,-87,20.967743158340454,Q,0,1
123,de:07:b6:8a:c7:04,,-43,20.967743158340454,Q,0,1
124,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,20.967743158340454,Q,0,1
125,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,20.967743158340454,Q,0,1
126,e8:45:8b:79:51:58,FIFALAU,-88,20.967743158340454,Q,0,1
127,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,20.967743158340454,Q,0,1
128,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,22.979400634765625,Q,0,1
129,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,22.979400634765625,Q,0,1
130,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-77,22.979400634765625,Q,0,1
131,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-92,22.979400634765625,Q,0,1
132,84:d8:1b:c6:e7:1f,Corredor 104 - 2.4 GHz,-80,22.979400634765625,Q,0,1
133,8c:44:4f:47:29:07,O Albergue' Hostel,-80,22.979400634765625,Q,0,1
134,8e:44:4f:47:2a:08,#CLARO-WIFI,-85,22.979400634765625,Q,0,1
135,b0:4e:26:ac:df:02,Corredor 108 baixo ,-90,22.979400634765625,Q,0,1
136,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,22.979400634765625,Q,0,1
137,d8:07:b6:8a:c7:04,PaxTecum,-39,22.979400634765625,Q,0,1
138,d8:c6:78:70:41:30,Casa 104,-87,22.979400634765625,Q,0,1
139,de:07:b6:8a:c7:04,,-43,22.979400634765625,Q,0,1
140,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-77,22.979400634765625,Q,0,1
141,e8:45:8b:4e:15:f0,SADA_ESTUDIO,-82,22.979400634765625,Q,0,1
142,e8:45:8b:79:51:58,FIFALAU,-88,22.979400634765625,Q,0,1
143,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-74,22.979400634765625,Q,0,1
144,10:98:5f:6d:69:6f,Vivo_MigoMoi,-88,24.9891836643219,Q,0,1
145,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-64,24.9891836643219,Q,0,1
