,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-65,212.7795865535736,Q,1,3
1,38:6b:1c:47:88:e1,Fazenda,-86,212.7795865535736,Q,1,3
2,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-84,212.7795865535736,Q,1,3
3,5e:af:97:a5:b4:76,,-92,212.7795865535736,Q,1,3
4,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-83,212.7795865535736,Q,1,3
5,8a:d8:1b:c6:e7:1f,,-85,212.7795865535736,Q,1,3
6,d4:92:5e:c9:18:23,TitzDom,-90,212.7795865535736,Q,1,3
7,d8:07:b6:27:15:38,AP 54 2.4GHz,-97,212.7795865535736,Q,1,3
8,d8:07:b6:8a:c7:03,PaxTecum-5G,-61,212.7795865535736,Q,1,3
9,d8:07:b6:8a:c7:04,PaxTecum,-35,212.7795865535736,Q,1,3
10,d8:c6:78:20:98:80,Loppes,-91,212.7795865535736,Q,1,3
11,d8:c6:78:70:41:30,Casa 104,-79,212.7795865535736,Q,1,3
12,de:07:b6:8a:c7:04,,-41,212.7795865535736,Q,1,3
13,e2:85:4d:d0:60:d4,[LG_Wall-Mount A/C]60d4,-72,212.7795865535736,Q,1,3
14,e8:45:8b:79:51:58,FIFALAU,-84,212.7795865535736,Q,1,3
15,f0:a7:31:56:a3:51,SAMPAIO VIVO_EXT,-62,212.7795865535736,Q,1,3
16,30:16:9d:a2:b9:27,O Albergue' Hostel_EXT,-65,214.79004168510437,Q,1,3
17,38:6b:1c:47:88:e1,Fazenda,-86,214.79004168510437,Q,1,3
18,42:c8:79:1c:51:b4,PIX-LINK-2.4G,-84,214.79004168510437,Q,1,3
19,5e:af:97:a5:b4:76,,-92,214.79004168510437,Q,1,3
20,84:0b:bb:c8:9f:30,SAMPAIO VIVO,-83,214.79004168510437,Q,1,3
21,8a:d8:1b:c6:e7:1f,,-85,214.79004168510437,Q,1,3
22,d4:92:5e:c9:18:23,TitzDom,-90,214.79004168510437,Q,1,3
23,d8:07:b6:27:15:38,AP 54 2.4GHz,-97,214.79004168510437,Q,1,3
